Grant Funder Name,Grant Recipient Name,Grant Total Amount,Grant Fiscal Year,Grant Duration,Grant Program Area,Grant Primary Subject,Grant Population Served,Grant Support Strategy,Grant Transaction Type,Grant Description
Alfred E. Chase Charity Foundation,"Massachusetts Advocates for Children, Inc.","15,000",2014,1 month,Education\Alliances & Advocacy,Child advocacy,Low-income people,Program support,Cash grants,For Trauma and Learning Policy Initiative
"Anna B. Stearns Charitable Foundation, Inc.",Girls LEAP Self-Defense,"15,000",2014,1 year,Not Specified,Youth organizing,Girls; Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Not Specified
"Anna B. Stearns Charitable Foundation, Inc.",Black Ministerial Alliance,"15,000",2014,1 year,Not Specified,Community improvement,People of African descent; Christians; Low-income people,Not Specified,Cash grants,Not Specified
"Anna B. Stearns Charitable Foundation, Inc.","Hyde Square Task Force, Inc.","15,000",2014,1 year,Not Specified,Community improvement,Children and youth; Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Not Specified
"Bank of America Charitable Foundation, Inc.",Viet-Aid,"15,000",2014,1 year,Not Specified,Community improvement,People of Southeast Asian descent; Immigrants and migrants; Low-income people,General support; Program support,Cash grants,Program/operating support
"Bank of America Charitable Foundation, Inc.",The Food Project,"15,000",2014,1 year,Not Specified,Organic farming,Adolescents; Ethnic and racial groups; Low-income people,General support; Program support,Cash grants,Program/operating support
"Clipper Ship Foundation, Inc.",Casa Esperanza Inc.,"15,000",2014,1 year,Not Specified,Environment,Economically disadvantaged people,Capital and infrastructure,Cash grants,Roof Restoration Project
Deborah Munroe Noonan Memorial Fund,BalletRox Inc.,"15,000",2014,1 month,Not Specified,Ballet,Low-income people,General support,Cash grants,"For General Operations of BalletRox, Inc"
Deborah Munroe Noonan Memorial Fund,Young Peoples Project,"15,000",2014,1 month,Not Specified,Mathematics,Children and youth; Low-income people; Students,General support,Cash grants,For General operations of the organization
Edwin S. Webster Foundation,United South End Settlements,"15,000",2014,1 year,Not Specified,Camps,Ethnic and racial groups; Low-income people,General support,Cash grants,General operational support at camp hale
Frank Reed & Margaret Jane Peters Memorial Fund II,African Community Education Program,"15,000",2014,1 month,Not Specified,Education services,Immigrants and migrants,General support,Cash grants,For General operations of the organization
Frank Reed & Margaret Jane Peters Memorial Fund II,Inquilinos Boricuas en Accion,"15,000",2014,2 months,Youth Development,Community improvement,Low-income people,Program support,Cash grants,For IBA's Cacique Youth Learning Center
Hamilton Company Charitable Foundation,Nativity Boston,"15,000",2014,1 year,Not Specified,Middle school education,Preteen boys; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General
Hamm Family Foundation Inc.,"Breakthrough Greater Boston, Inc.","15,000",2014,1 year,Not Specified,Family services,Working poor,General support,Cash grants,For operations
"Hunt Street Fund, Inc.",Mother Caroline Academy &Education Center,"15,000",2014,1 year,Not Specified,Arts and culture,Young girls; Preteen girls; Ethnic and racial groups; Catholics; Low-income people; Students,General support,Cash grants,Charitable contribution unrestricted
Island Foundation,3rd Eye Youth Empowerment,"15,000",2014,1 year,Not Specified,Youth organizing,Children and youth; Ethnic and racial groups; Low-income people,General support,Cash grants,General support
"Island Foundation, Inc.",NorthStar Learning Centers,"15,000",2014,1 year,New Bedford/Youth/Educational Opportunity for Underserved Populations,Youth services,Children and youth; Ethnic and racial groups; Low-income people,Program support,Cash grants,For Youth Services Enrichment Opportunities
"Island Foundation, Inc.",Coalition For Social Justice Education Fund,"15,000",2014,1 year,New Bedford/Basic Needs/Educational Opportunity for Underserved Populations,Basic and emergency aid,Low-income people,Network-building and collaboration; Advocacy,Cash grants,For New Bedford Anti-Poverty Organizing Project
"Josephine and Louise Crane Foundation, Inc.",Bottom Line,"15,000",2014,1 year,Not Specified,College preparation,Adolescents; Ethnic and racial groups; Economically disadvantaged people; Students,General support,Cash grants,Unrestricted
Krupp Family Foundation,United South End Settlements,"15,000",2014,1 year,Not Specified,Human services,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,To assist the recipient in carrying out its charitable purpose
Lawson Valentine Foundation,NUESTRAS RAICES INC,"15,000",2014,1 year,Not Specified,Public affairs,People of Latin American descent,General support,Cash grants,General purpose
New Balance Foundation,"Hyde Square Task Force, Inc.","15,000",2014,1 year,Not Specified,Community improvement,Children and youth; Ethnic and racial groups; Low-income people,General support,Cash grants,General support
New Balance Foundation,The Food Project,"15,000",2014,1 year,Not Specified,Food aid,Adolescents; Ethnic and racial groups; Low-income people,General support,Cash grants,General support
Paul and Joanne Egerman Family Charitable Foundation,Massachusetts Budget and Policy Center,"15,000",2014,1 year,Not Specified,Public finance,Adults; People of Asian descent; Low-income people,"Policy, advocacy and systems reform",Cash grants,Unrestricted charitable gift
Rhode Island Foundation,Hale Reservation Inc,"15,000",2014,1 year,Not Specified,Community recreation,American Indians,General support,Cash grants,General Operating
"Robert and Myra Kraft Family Foundation, Inc.",Jewish Vocational Service,"15,000",2014,1 year,Not Specified,Job counseling,Adolescents,Program support,Cash grants,To provide career guidance
"State Street Foundation, Inc.",Neighborhood Of Affordable Housing (NOAH),"15,000",2014,1 year,Not Specified,ESL and second language acquisition,Students,Program support,Cash grants,Grant to support the English for Speakers of Other Languages (ESOL) Program
"State Street Foundation, Inc.",Boston Scores,"15,000",2014,1 year,Not Specified,Alumni relations,Children and youth; Ethnic and racial groups; Low-income people; At-risk youth; Students,Program support,Cash grants,Grant to support the expansion of the Alumni Leadership Academy
The Boston Foundation,SquashBusters Inc.,"15,000",2014,1 year,Human Services,Racquet sports,Children and youth; Ethnic and racial groups; Low-income people,General support,Cash grants,For general operating/unrestricted support
The Boston Foundation,Unitarian Universalist Urban Ministry (Benevolent Fraternity of Unitarian Church),"15,000",2014,1 year,Religion-Related,Interfaith,Children and youth; Women and girls; Ethnic and racial groups; Low-income people; Victims of crime and abuse,General support,Cash grants,For general operating/unrestricted support
The Boston Foundation,Initiative for A Competitive Inner City Inc,"15,000",2014,1 year,Community Improvement & Capacity Buildin,Community improvement,Ethnic and racial groups; Low-income people,Capacity-building and technical assistance; Research and evaluation,Cash grants,To explore the use of EB-5 financing to achieve community development goals
The David and Lucile Packard Foundation,Ibis Reproductive Health Inc,"15,000",2014,1 month,Not Specified,Ethnic and racial minority rights,Women and girls,Program support,Cash grants,For leadership training on effective strategies for integration of racial justice into reproductive health programs
The Downey Family Charitable Foundation,"Epiphany School, Inc.","15,000",2014,1 year,Not Specified,Middle school education,Preteens; Ethnic and racial groups; Protestants; Low-income people; Students,Not Specified,Cash grants,Educational
The Downey Family Charitable Foundation,Mother Caroline Academy &Education Center,"15,000",2014,1 year,Not Specified,Middle school education,Young girls; Preteen girls; Ethnic and racial groups; Catholics; Low-income people; Students,Not Specified,Cash grants,Educational
The Fremont Group Foundation,Year Up,"15,000",2014,1 year,Not Specified,Job counseling,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,"Suppor Year Up-bay Area's classroom trammg, on-the-job expenence through the mtemship program & suppon services that will enable low-income young aduhs to build the skills necessary to pursue careers in technology"
The Harold Whitworth Pierce Charitable Trust,Black Ministerial Alliance,"15,000",2014,1 year,Not Specified,Community improvement,People of African descent; Christians; Low-income people,Program support,Cash grants,Grant
The Janey Fund Charitable Trust,St Peter Teen Center,"15,000",2014,1 year,Not Specified,Youth development,Adolescents; Adolescent girls,General support,Cash grants,Unrestricted
The Janey Fund Charitable Trust,Boston City Singers,"15,000",2014,1 year,Not Specified,Urban development,Children and youth; Ethnic and racial groups,General support,Cash grants,Unrestricted
The Janey Fund Charitable Trust,Inquilinos Boricuas en Accion,"15,000",2014,1 year,Not Specified,Economic development,People of Latin American descent; Immigrants and migrants; Low-income people,General support,Cash grants,Unrestricted
The Janey Fund Charitable Trust,Notre Dame Education Center,"15,000",2014,1 year,Not Specified,Adult literacy,Adolescent girls,General support,Cash grants,Unrestricted
The Janey Fund Charitable Trust,St Mary's Women and Children Center,"15,000",2014,1 year,Not Specified,Family services,Children and youth; Women and girls; Ethnic and racial groups; Homeless people; Low-income people,General support,Cash grants,Unrestricted
The Jersey Foundation,The Food Project,"15,000",2014,1 year,Not Specified,Basic and emergency aid,Adolescents; Ethnic and racial groups; Low-income people,General support,Cash grants,General purpose
"The Liberty Mutual Foundation, Inc.",African Community Economic Development of NE,"15,000",2014,1 year,Not Specified,Leadership development,People of African descent; Immigrants; Refugees and displaced people; Low-income people,Program support,Cash grants,Program Support
"The Liberty Mutual Foundation, Inc.",Unitarian Universalist Urban Ministry (Benevolent Fraternity of Unitarian Church),"15,000",2014,1 year,Not Specified,Christianity,Children and youth; Women and girls; Ethnic and racial groups; Low-income people; Victims of crime and abuse,General support,Cash grants,Operating Support
The Mabel A. Horne Fund,"Epiphany School, Inc.","15,000",2014,1 month,Education\Elementary & Secondary Schools,Middle school education,Low-income people,General support,Cash grants,For general operations of the organization
The Mabel A. Horne Fund,Building Educated Leaders for Life Foundation,"15,000",2014,1 month,Education\Educational Services,Out-of-school learning,Low-income people,Program support,Cash grants,For After School programs for middle school students in Chelsea and English Language Learners in Boston
The Mabel A. Horne Fund,UTEC,"15,000",2014,1 month,Youth Development,Youth development,Low-income people,General support,Cash grants,For General operations of the organization
The Mabel Louise Riley Foundation,Dudley Street Neighborhood Initiative,"15,000",2014,1 year,Not Specified,Law education,Ethnic and racial groups; Low-income people,General support,Cash grants,General operating purposes
The Sister and Johnny Foundation,"Brookline Community Foundation, Inc.","15,000",2014,1 year,Not Specified,Foundations,Low-income people,General support,Cash grants,Unrestricted
The Vela Foundation,A Better Tomorrow Services,"15,000",2014,1 year,Not Specified,Graduate and professional education,Low-income people,General support,Cash grants,General use
Vanguard Charitable Endowment Program,Bottom Line,"15,000",2014,1 year,Not Specified,Community and economic development,Adolescents; Ethnic and racial groups; Economically disadvantaged people; Students,General support,Cash grants,For General operating expenses
Wales Home Inc,Brockton Neighborhood Health Center,"15,000",2014,1 year,Not Specified,Philanthropy,Ethnic and racial groups; Low-income people,Program support,Cash grants,Charitable givings and services to members of the community in need
William E. Schrafft and Bertha E. Schrafft Charitable Trust,United South End Settlements,"15,000",2014,1 year,Not Specified,Arts and culture,Children and youth,Not Specified,Cash grants,Children's Art Centre
Adelard A. & Valeda Lea Roy Foundation,"Epiphany School, Inc.","15,000",2014,1 year,Not Specified,Middle school education,Preteens; Ethnic and racial groups; Protestants; Low-income people; Students,Not Specified,Cash grants,Charitable purposes
Albert W. Rice Charitable Foundation,Nativity School of Worcester,"15,000",2014,1 month,Education\Elementary & Secondary Schools\Secondary & High Schools,Middle school education,Preteen boys; Ethnic and racial groups; Catholics; Low-income people; Students,General support,Cash grants,For General operations of the organization and capital request
Alfred E. Chase Charity Foundation,"Massachusetts Advocates for Children, Inc.","15,000",2014,1 month,Not Specified,Child advocacy,Children and youth; Ethnic and racial groups; Economically disadvantaged people; Low-income people; People with disabilities,Program support,Cash grants,For Trauma and Learning Policy Initiative
Alfred E. Chase Charity Foundation,Asian Task Force Against Domestic Violence (atask),"15,000",2014,1 month,Not Specified,Domestic violence shelters,Low-income people,General support,Cash grants,For General operations of the organization (Asian Shelter and Advocacy Program [ASAP])
"Anna B. Stearns Charitable Foundation, Inc.",Asian Task Force Against Domestic Violence (atask),"15,000",2014,1 year,Not Specified,Domestic violence shelters,Women and girls; People of Asian descent; Immigrants; Refugees and displaced people; Low-income people; Victims of crime and abuse,Not Specified,Cash grants,Not Specified
"Anna B. Stearns Charitable Foundation, Inc.",Sociedad Latina,"15,000",2014,1 year,Not Specified,Child welfare,Children and youth; Women and girls; People of Latin American descent; Low-income people; Substance abusers,Presentations and productions,Cash grants,Not Specified
"Anna B. Stearns Charitable Foundation, Inc.","Artists for Humanity, Inc.","15,000",2014,1 year,Not Specified,Arts services,Adolescents; Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Not Specified
"Anna B. Stearns Charitable Foundation, Inc.",St Mary's Women and Children Center,"15,000",2014,1 year,Not Specified,Homeless shelters,Children and youth; Women and girls; Ethnic and racial groups; Homeless people; Low-income people,Not Specified,Cash grants,Not Specified
"Ben & Jerry's Foundation, Inc.",Gardening the Community,"15,000",2014,1 month,Grassroots Organizing for Social Change Program,Organic farming,Children and youth; Ethnic and racial groups; Low-income people,General support,Cash grants,"For general support for grant made through Third Sector New England. Gardening the Community is a youth-based food justice organization engaged in urban agriculture, sustainable living, and organizing for healthy and equitable communities"
"Boston Scientific Foundation, Inc.",MathPOWER,"15,000",2014,1 year,Not Specified,Education services,Children and youth; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,MathpOWER is working to create seamless learning environments by providing coaching and professional development to teachers and out-of-school providers at locations where we provide our Math*sTARS Afterschool programming. That integrated learning environment is then extended over the summer by having students in our Math*sTARS programs participate in our Algebra Plus Summer Academy. The creation of an integrated learning environment allows MathpOWER to be one of the only year-round nonprofits in Boston supporting math proficiency and personal resiliency.
"Cranaleith Foundation, Inc.",The Food Project,"15,000",2014,1 year,Not Specified,Basic and emergency aid,Adolescents; Ethnic and racial groups; Low-income people,Program support,Cash grants,Food programs
Dean Welfare Trust,Steppingstone Foundation,"15,000",2014,1 year,Not Specified,College preparation,Non-adult children; Victims and oppressed people,General support,Cash grants,General operating
Deborah Munroe Noonan Memorial Fund,Boston Childrens Chorus,"15,000",2014,1 month,"Arts, Culture & Humanities\Arts & Culture\Arts Education",Vocal music,Children; Ethnic and racial groups; Low-income people; Students,General support; Program support,Cash grants,For Choir Program Operating Support
Deborah Munroe Noonan Memorial Fund,The City School,"15,000",2014,1 month,Not Specified,Community service for youth,Adolescents; Ethnic and racial groups; Low-income people,General support,Cash grants,For general operations of the organization
F. Roscoe & Vila Webber Charitable Trust,"Inner-City Scholarship Fund, Catholic Schools Foundation","15,000",2014,1 year,Not Specified,Elementary and secondary education,Children and youth; Ethnic and racial groups; Catholics; Low-income people; At-risk youth; Students,Individual development,Cash grants,General Support
Frank Reed & Margaret Jane Peters Memorial Funds,Upham's Corner Community Center,"15,000",2014,1 month,Youth Development\Youth Development NEC,Youth development,Children and youth; Ethnic and racial groups; Low-income people,Program support,Cash grants,For Academic Supports including College Pathways
Frank Reed & Margaret Jane Peters Memorial Funds,MathPOWER,"15,000",2014,1 month,Not Specified,Mathematics,Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,For general operations of the organization
Frank Reed & Margaret Jane Peters Memorial Funds,SquashBusters Inc.,"15,000",2014,1 month,Not Specified,Racquet sports,Children and youth; Ethnic and racial groups; Low-income people,General support,Cash grants,For General operations of the organization
Frank Reed & Margaret Jane Peters Memorial Funds,Youth and Family Enrichment Services,"15,000",2014,1 month,Education\Education NEC,Family services,Children and youth; People of African descent; Immigrants and migrants; Low-income people,Program support,Cash grants,For Youth Builders After-School and Summer Program
Goyal Family Charitable Foundation,Indian Medical Assoc of New England,"15,000",2014,1 year,Not Specified,Medical education,American Indians; Academics,Program support,Cash grants,Support medical education
Greater Washington Community Foundation,United South End Settlements,"15,000",2014,1 month,Education and Youth Development; HUM - Youth Development,Human services,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Not Specified
Groundswell Fund,Peace Development Fund,"15,000",2014,1 month,Not Specified,Reproductive rights,Infants and toddlers; Women and girls; Ethnic and racial groups; Offenders; Ex-offenders,"Policy, advocacy and systems reform; Advocacy; Grassroots organizing; Equal access; Product and service delivery",Cash grants,Support efforts to achieve birth justice for incarcerated and formerly incarcerated mothers.
Heckscher Foundation for Children,Bottom Line,"15,000",2014,1 year,Not Specified,College preparation,Adolescents,Program support,Cash grants,The Eagle Engagement & Pesistence Program
Highland Street Foundation,"Community Servings, Inc.","15,000",2014,1 year,Not Specified,Food aid,Ethnic and racial groups; Low-income people; People with disabilities; People with HIV/AIDS,Not Specified,Cash grants,For community.
Highland Street Foundation,Trustees of Phillips Academy,"15,000",2014,1 year,Not Specified,School athletics,People of African descent,Program support,Cash grants,For educational programming.
Highland Street Foundation,Trustees of Phillips Academy,"15,000",2014,1 year,Not Specified,School athletics,People of African descent,Program support,Cash grants,For educational programming.
Highland Street Foundation,InnerCity Weightlifting,"15,000",2014,1 year,Not Specified,Crime prevention,Low-income people; At-risk youth,Not Specified,Cash grants,For community.
"Hunt Street Fund, Inc.",Nativity School of Worcester,"15,000",2014,1 year,Not Specified,Philanthropy,Preteen boys; Ethnic and racial groups; Catholics; Low-income people; Students,General support; Equal access,Cash grants,Charitable contribution unrestricted
Island Foundation,NorthStar Learning Centers,"15,000",2014,1 year,Not Specified,Education,Students,Program support,Cash grants,Youth services enrichment programs
"Island Foundation, Inc.",3rd Eye Youth Empowerment,"15,000",2014,1 year,New Bedford/Youth/Leadership/Professional Development,Youth organizing,Children and youth; Ethnic and racial groups; Low-income people,General support,Cash grants,For General Support
"Josephine and Louise Crane Foundation, Inc.",Massachusetts Community Action Network,"15,000",2014,1 year,Not Specified,Community organizing,Ethnic and racial groups; Low-income people,General support,Cash grants,Unrestricted
Lars Foundation,"Breakthrough Greater Boston, Inc.","15,000",2014,1 year,Not Specified,Middle school education,Children and youth; Preteens; Adolescents; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General
Laura J. Niles Foundation,The Food Project,"15,000",2014,1 year,Not Specified,Education,Adolescents; Ethnic and racial groups; Low-income people,Program support,Cash grants,Dirt Crew: Academic Year Youth Development Program
Marguerite Casey Foundation,Year Up,"15,000",2014,1 month,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,For general support
Max J. and Winnie Rosenshein Foundation Inc.,Boston Scores,"15,000",2014,1 year,Not Specified,Reading promotion,Terminally ill people,General support,Cash grants,General charitable purpose
Morgens West Foundation,Year Up,"15,000",2014,1 year,Not Specified,Graduate and professional education,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Contribution to general fund
Nyce Family Foundation,Sociedad Latina,"15,000",2014,1 year,Not Specified,Child welfare,Children and youth; Women and girls; People of Latin American descent; Low-income people; Substance abusers,Program support,Cash grants,Educate latin ytouth
Robert Gore Rifkind Foundation,Jumpstart for Young Children,"15,000",2014,1 year,Not Specified,Child development,Infants and toddlers,Program support,Cash grants,Further goals of the foundation
Robert Lloyd Corkin Charitable Foundation,Project Step,"15,000",2014,1 year,Not Specified,Education services,Children and youth; Non-adult children; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General support
"The 484 Phi Alpha Foundation, Inc.","Breakthrough Greater Boston, Inc.","15,000",2014,1 year,Not Specified,Middle school education,Children and youth; Preteens; Adolescents; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,"Alum track, match, study halls"
The A.M. Fund,Rian Immigrant Center,"15,000",2014,1 year,Not Specified,Immigrant services,Ethnic and racial groups; Immigrants; Low-income people,General support,Cash grants,General funding
The Afognak Fund,Boston Youth Symphony Orchestras,"15,000",2014,1 year,Not Specified,Orchestral music,Children and youth; Adults; Ethnic and racial groups; Students,General support,Cash grants,For unrestricted support
The Altamira Foundation,Wellington Management Company Charitable Fund,"15,000",2014,1 year,Not Specified,Philanthropy,Children and youth,Equal access,Cash grants,CHARITABLE
The Beveridge Family Foundation,Homework House Inc,"15,000",2014,1 month,Education,Education,Children and youth; People of Latin American descent; Catholics; Students,Annual campaigns,Cash grants,Annual Appeal
The Boston Foundation,Unitarian Universalist Association,"15,000",2014,1 year,Human Services,Individual liberties,Low-income people,General support,Cash grants,For general operating/unrestricted support
The Boston Foundation,"Artists for Humanity, Inc.","15,000",2014,1 year,"Arts, Culture & Humanities",Humanities,Adolescents; Ethnic and racial groups; Low-income people,General support,Cash grants,For general operating/unrestricted support
The Boston Foundation,"Artists for Humanity, Inc.","15,000",2014,1 year,"Arts, Culture & Humanities",Humanities,Adolescents; Ethnic and racial groups; Low-income people,General support,Cash grants,For general operating/unrestricted support
The Boston Foundation,Chelsea Collaborative Inc,"15,000",2014,1 year,Human Services,Human services,Ethnic and racial groups; Immigrants and migrants; Low-income people,General support,Cash grants,For general operating/unrestricted support
"The Brooke Brown Barzun Philanthropic Foundation, Inc.",New England Historic Geneological Society,"15,000",2014,1 year,Not Specified,Historic preservation,People of African descent; Academics,General support,Cash grants,General operations
The Cedar Street Foundation,"Tenacity, Inc.","15,000",2014,1 year,Not Specified,Student services,Children and youth; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Support of college prep and alumni services
The Cedar Street Foundation,Steppingstone Foundation,"15,000",2014,1 year,Not Specified,College preparation,At-risk youth,General support,Cash grants,Unrestricted support
The Cosette Charitable Fund,Summer Search Boston,"15,000",2014,1 year,Not Specified,Education services,Adolescents; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General purpose
The Cosette Charitable Fund,Posse Foundation Boston,"15,000",2014,1 year,Not Specified,Education,Adolescents; Ethnic and racial groups; Low-income people; Academics,General support,Cash grants,General purpose
The Cosette Charitable Fund,"The Match School Foundation, Inc.","15,000",2014,1 year,Not Specified,Charter school education,Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General purpose
The Downey Family Charitable Foundation,Nativity Boston,"15,000",2014,1 year,Not Specified,Middle school education,Preteen boys; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Educational
The Flatley Foundation,St Mary's Women and Children Center,"15,000",2014,1 year,Not Specified,Family services,Children and youth; Women and girls; Ethnic and racial groups; Homeless people; Low-income people,General support,Cash grants,Unrestricted
The Fletcher Foundation,Worcester Youth Center,"15,000",2014,1 year,Not Specified,Youth development,Adolescents,Program support,Cash grants,Programming Support
The Genevieve McMillan-Reba Stewart Foundation,Project HIP-HOP,"15,000",2014,1 year,Not Specified,Youth organizing,Adolescents; Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Charitable
The Genevieve McMillan-Reba Stewart Foundation,The City School,"15,000",2014,1 year,Not Specified,Elementary and secondary education,Students,Equal access,Cash grants,Charitable
"The Gertler Clark Foundation, Inc.",Boston Youth Symphony Orchestras,"15,000",2014,1 year,Not Specified,Orchestral music,Children and youth; Adults; Ethnic and racial groups; Students,General support,Cash grants,General
The Harold Whitworth Pierce Charitable Trust,Neighborhood Of Affordable Housing (NOAH),"15,000",2014,1 year,Not Specified,Community improvement,Ethnic and racial groups; Low-income people,Program support,Cash grants,Support
The Janey Fund Charitable Trust,Cooperative Artists Institute,"15,000",2014,1 year,Not Specified,Artist's services,Ethnic and racial groups; Low-income people,General support,Cash grants,Unrestricted
The Janey Fund Charitable Trust,Upham's Corner Community Center,"15,000",2014,1 year,Not Specified,Bird preservation,Children and youth; Ethnic and racial groups; Low-income people,General support,Cash grants,Unrestricted
The Klarman Family Foundation,Dudley Street Neighborhood Initiative,"15,000",2014,1 year,Not Specified,Health care access,Substance abusers,Program support,Cash grants,To expand access to critical services and enrichment opportunities in Greater Boston.
"The Liberty Mutual Foundation, Inc.",Notre Dame Cristo Rey High School,"15,000",2014,1 year,Not Specified,Secondary education,Adolescents; People of Latin American descent; Catholics; Low-income people; Students,Program support,Cash grants,Program Support
"The Liberty Mutual Foundation, Inc.",Friends of the Children - Boston,"15,000",2014,1 year,Not Specified,Child welfare,Children and youth; Ethnic and racial groups; Low-income people; At-risk youth,Program support,Cash grants,Program Support
"The Liberty Mutual Foundation, Inc.",MathPOWER,"15,000",2014,1 year,Not Specified,Mathematics,Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Operating Support
"The Liberty Mutual Foundation, Inc.",Summer Search Boston,"15,000",2014,1 year,Not Specified,Education services,Adolescents; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Operating Support
The Linda Wisnewski and William Collatos Family Foundation,"Epiphany School, Inc.","15,000",2014,1 year,Not Specified,Environmental education,Preteens; Ethnic and racial groups; Protestants; Low-income people; Students,General support,Cash grants,Unrestricted
The Mabel A. Horne Fund,UTEC,"15,000",2014,1 year and 1 month,Not Specified,Youth development,Adolescents; Young adults; Ethnic and racial groups; Immigrants and migrants; Low-income people,General support,Cash grants,For General operations of the organization
The Mabel A. Horne Fund,"Epiphany School, Inc.","15,000",2014,1 year and 1 month,Not Specified,Middle school education,Preteens; Ethnic and racial groups; Protestants; Low-income people; Students,General support,Cash grants,For general operations of the organization
The Mabel A. Horne Fund,Mujeres Unidas Avanzando,"15,000",2014,1 month,Education\Adult Education,Secondary education,Adolescents; Homeless people; Students,Program support,Cash grants,For High School Equivalency Program
The Mabel A. Horne Fund,Building Educated Leaders for Life Foundation,"15,000",2014,1 year and 1 month,Not Specified,Out-of-school learning,Children; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,For After School programs for middle school students in Chelsea and English Language Learners in Boston
The Mabel A. Horne Fund,Mujeres Unidas Avanzando,"15,000",2014,1 year and 1 month,Not Specified,Secondary education,Adolescents; Students,Program support,Cash grants,For High School Equivalency Program
"The New England Patriots Charitable Foundation, Inc.",Nativity Boston,"15,000",2014,1 year,Not Specified,Middle school education,Preteen boys; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Education
The Prospect Fund,Lenny Zakim Fund,"15,000",2014,1 year,Not Specified,Foundations,Children and youth; Adults; Ethnic and racial groups; Immigrants and migrants; Low-income people,Not Specified,Cash grants,Charitable
The Robbins-de Beaumont Foundation,WEATOC,"15,000",2014,1 year,Not Specified,Youth organizing,Adolescents; Ethnic and racial groups; Low-income people,General support,Cash grants,General
The Ruane Family Foundation Formerly Known As Ccj Foundation,Inner-City Scholarship Fund,"15,000",2014,1 year,Not Specified,Education,At-risk youth,Scholarships,Cash grants,Inner city scholarships for those in need
The Schooner Foundation,Rian Immigrant Center,"15,000",2014,1 year,Not Specified,Immigrant services,Ethnic and racial groups; Immigrants; Low-income people,General support,Cash grants,General Support
The Sidney A. Swensrud Foundation,Year Up,"15,000",2014,1 year,Not Specified,Education services,Students,Program support,Cash grants,Education
The Stoddard Charitable Trust,Worcester Youth Center,"15,000",2014,1 year,Not Specified,Youth development,Adolescents; Ethnic and racial groups; Low-income people,Program support,Cash grants,Programming Support
"The Vervane Foundation, Inc.",Gardening the Community,"15,000",2014,1 year,Not Specified,Organic farming,Children and youth; Ethnic and racial groups; Low-income people,Program support,Cash grants,Charitable
The Weil Foundation,Cambridge Health Alliance Foundation,"15,000",2014,1 year,Not Specified,Community health care,Families; Ethnic and racial groups; Low-income people,Program support,Cash grants,For grant to Family Medicine Department
Theodore Edson Parker Foundation,Massachusetts Alliance of Portuguese Speakers (MAPS),"15,000",2014,1 year,Not Specified,Elder housing,Seniors,Research and evaluation,Cash grants,Feasibility study for the creation of affordable assisted living units for elderly portuguese
Thomas G. Stemberg Charitable Foundation,Inner-City Scholarship Fund,"15,000",2014,1 year,Not Specified,Education,At-risk youth,General support,Cash grants,General charitable purposes
William E. Schrafft and Bertha E. Schrafft Charitable Trust,Inquilinos Boricuas en Accion,"15,000",2014,1 year,Not Specified,Education,Students,Program support,Cash grants,After School/Summer Learning
William E. Schrafft and Bertha E. Schrafft Charitable Trust,Unitarian Universalist Urban Ministry (Benevolent Fraternity of Unitarian Church),"15,000",2014,1 year,Not Specified,Human services,Children and youth,Program support,Cash grants,Roxbury Youth Programs
William E. Schrafft and Bertha E. Schrafft Charitable Trust,JFYNetWorks,"15,000",2014,1 year,Not Specified,Employment,Adolescents; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,O perating
William E. Schrafft and Bertha E. Schrafft Charitable Trust,Upham's Corner Community Center,"15,000",2014,1 year,Not Specified,Job creation and workforce development,Children and youth; Ethnic and racial groups; Low-income people,Program support,Cash grants,Youth Workforce Development
William E. Schrafft and Bertha E. Schrafft Charitable Trust,Boston Chinatown Neighborhood Center,"15,000",2014,1 year,Not Specified,Youth development,Children and youth,Program support,Cash grants,Youth Center
