Grant Funder Name,Grant Recipient Name,Grant Total Amount,Grant Fiscal Year,Grant Duration,Grant Program Area,Grant Primary Subject,Grant Population Served,Grant Support Strategy,Grant Transaction Type,Grant Description
"The Liberty Mutual Foundation, Inc.",Rian Immigrant Center,"40,000",2016,1 year,Not Specified,Immigrant services,Children and youth; Homeless people,Not Specified,Cash grants,Youth Homelessness
"The Liberty Mutual Foundation, Inc.",Jewish Vocational Service,"40,000",2016,1 year,Not Specified,Job creation and workforce development,Ethnic and racial groups; Immigrants and migrants; Low-income people; Students,Program support,Cash grants,Discretionary
The Richard K. Lubin Family Foundation,Teach Plus,"40,000",2016,1 year,Not Specified,Teacher education,Children and youth; Ethnic and racial groups; Low-income people; Students; Teachers,Program support,Cash grants,To provide support for the needs of the organization.
The William O. & Carole P. Bailey Family Foundation,CYCLE Kids Inc.,"40,000",2016,1 year,Not Specified,Bicycling and pedestrian-oriented development,Children and youth; Ethnic and racial groups; Health,Not Specified,Cash grants,Charitable support
Center on Budget and Policy Priorities,Massachusetts Budget and Policy Center,"40,000",2016,1 year,Not Specified,Public policy,Immigrants,Systems reform,Cash grants,Policy: Immigration
Fidelity Investments Charitable Gift Fund,Found in Translation,"40,000",2016,1 year,Not Specified,Languages,Immigrants and migrants,General support,Cash grants,Not Specified
Fidelity Investments Charitable Gift Fund,Chinese Bible Church of Greater Lowell,"40,000",2016,1 year,Not Specified,Christianity,People of East Asian descent,General support,Cash grants,Not Specified
Fidelity Investments Charitable Gift Fund,Mother Caroline Academy &Education Center,"40,000",2016,1 year,Not Specified,Middle school education,Young girls; Preteen girls; Ethnic and racial groups; Catholics; Low-income people; Students,General support,Cash grants,Not Specified
Fidelity Investments Charitable Gift Fund,Adopt-A-Student,"40,000",2016,1 year,Not Specified,Education,Children and youth; Ethnic and racial groups; Low-income people; At-risk youth; Students,General support,Cash grants,Not Specified
George H. & Jane A. Mifflin Memorial Fund,"The Match School Foundation, Inc.","40,000",2016,1 year,Not Specified,Organ and tissue banks,Children and youth; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,For match more
Herman and Frieda L. Miller Foundation,UTEC,"40,000",2016,1 year,Not Specified,Leadership development,Adolescent girls,Not Specified,Cash grants,Sojust & organizing 2016: pathways to leadership
Herman and Frieda L. Miller Foundation,Boston Childrens Chorus,"40,000",2016,1 year,Not Specified,Vocal music,Children; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Social integration initiative
"Inavale Foundation, Inc.",Grub Street Inc.,"40,000",2016,1 year,Not Specified,Community improvement,Low-income people,General support,Cash grants,General purpose
"Mass General Brigham, Inc.",Asian Women for Health,"40,000",2016,1 year,Not Specified,Health,Women and girls; People of Asian descent; Immigrants and migrants,Program support,Cash grants,Community benefit program
Silicon Valley Community Foundation,Centro Presente Inc,"40,000",2016,1 year,Not Specified,Immigrant services,People of Latin American descent; Immigrants,Not Specified,Cash grants,Not Specified
Silicon Valley Community Foundation,Centro Presente Inc,"40,000",2016,1 year,Not Specified,Immigrant services,People of Latin American descent; Immigrants,Not Specified,Cash grants,Not Specified
"State Street Foundation, Inc.",East Boston Ecumenical Community Council (EBECC),"40,000",2016,1 year,Not Specified,Immigrant services,People of Latin American descent,Not Specified,Cash grants,Familiar Apoyo
The Bigbird Fund,The Food Project,"40,000",2016,1 year,Not Specified,Food aid,Adolescents; Ethnic and racial groups; Low-income people,General support,Cash grants,General support
The Boston Foundation,InnerCity Weightlifting,"40,000",2016,1 year,Not Specified,Human services,Low-income people; At-risk youth,Program support,Cash grants,Not Specified
The Cedar Street Foundation,Building Excellent Schools Inc,"40,000",2016,1 year,Not Specified,Educational management,Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Unrestricted support
"The Hyams Foundation, Inc.",Black Ministerial Alliance,"40,000",2016,1 year,Not Specified,Human rights,People of African descent; Christians; Low-income people,Program support,Cash grants,Important racial justice issues
"The Hyams Foundation, Inc.",Massachusetts Alliance on Teen Pregnancy,"40,000",2016,1 year,Not Specified,Human rights,Adolescent girls; Adolescent boys,Program support,Cash grants,Important racial justice issues
"The Hyams Foundation, Inc.",Union of Minority Neighborhoods,"40,000",2016,1 year,Not Specified,Community organizing,Ethnic and racial groups; Low-income people,Equal access,Cash grants,Community identified issues
"The Hyams Foundation, Inc.","Massachusetts Advocates for Children, Inc.","40,000",2016,1 year,Not Specified,Antidiscrimination,Children and youth; Ethnic and racial groups; Economically disadvantaged people; Low-income people; People with disabilities,Advocacy,Cash grants,Important racial justice issues
The Klarman Family Foundation,"Massachusetts Advocates for Children, Inc.","40,000",2016,1 year,Not Specified,Child advocacy,Children and youth; Ethnic and racial groups; Economically disadvantaged people; Low-income people; People with disabilities,General support,Cash grants,"Unrestricted operating support for fiscal years 2017, 2018, and 2019"
"The Liberty Mutual Foundation, Inc.",Year Up,"40,000",2016,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Education Initiative
"The Liberty Mutual Foundation, Inc.","The Match School Foundation, Inc.","40,000",2016,1 year,Not Specified,Education,Students,Program support,Cash grants,Education Initiative
"The Liberty Mutual Foundation, Inc.",Nurtury,"40,000",2016,1 year,Not Specified,Child care,Infants and toddlers; Children; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Education Initiative
"The Liberty Mutual Foundation, Inc.",Building Educated Leaders for Life Foundation,"40,000",2016,1 year,Not Specified,Out-of-school learning,Children; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Discretionary
"The Liberty Mutual Foundation, Inc.",SquashBusters Inc.,"40,000",2016,1 year,Not Specified,Racquet sports,Children and youth; Ethnic and racial groups; Low-income people,Program support,Cash grants,Discretionary
The Ludcke Foundation,Alma Del Mar Foundation Inc,"40,000",2016,1 year,Not Specified,Education,Children and youth; Ethnic and racial groups; Students,General support,Cash grants,General purposes
Theodore Edson Parker Foundation,Angkor Dance Troupe,"40,000",2016,1 year,Not Specified,Folk and ethnic dance,Children and youth,Capacity-building and technical assistance,Cash grants,To support the dance troupe's three - year strategic growth plan
George B. Henderson Foundation,Unitarian Universalist Urban Ministry (Benevolent Fraternity of Unitarian Church),"39,555",2016,1 year,Not Specified,Christianity,Children and youth; Women and girls; Ethnic and racial groups; Low-income people; Victims of crime and abuse,General support,Cash grants,General purpose
"Network for Good, Inc.",Beacon Academy Inc,"39,285",2016,1 year,Not Specified,Elementary and secondary education,Children and youth; Ethnic and racial groups; Economically disadvantaged people; Low-income people; Students,General support,Cash grants,Unrestricted
The Klarman Family Foundation,Cristo Rey Boston High School,"38,900",2016,1 year,Not Specified,Secondary education,Adolescents; Ethnic and racial groups; Catholics; Low-income people; Students,General support,Cash grants,Unrestricted operating support for fiscal years 2017 and 2018
"Network for Good, Inc.",Bottom Line,"38,830",2016,1 year,Not Specified,Education services,Adolescents; Low-income people; Students,General support,Cash grants,Unrestricted
National Foundation for the Centers for Disease Control and Prevention,Boston University,"38,801",2016,1 year,Not Specified,Kidney diseases,Academics,Research and evaluation,Cash grants,Chronic kidney disease in central american workers
The Children's Hospital Corporation,Nurtury,"38,500",2016,1 year,Not Specified,Community and economic development,Infants and toddlers; Children; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Community Partnership
"Mass General Brigham, Inc.",Dimock Community Health Center,"38,333",2016,1 year,Not Specified,Benefits planning,Ethnic and racial groups; Low-income people,Program support,Cash grants,Community benefit program
The Peter and Elizabeth C. Tower Foundation,Salem State University Foundation,"38,306",2016,1 year,Not Specified,University education,People of African descent,Not Specified,Cash grants,Charitable
"Rodman Ride for Kids, Inc.","Wide Horizons for Children, Inc.","38,219",2016,1 year,Not Specified,Youth development,Low-income people,Program support,Cash grants,To benefit disadvantaged youths in massachusetts
Community Foundation of Southeastern Massachusetts,ALMA del MAR CHARTER SCHOOL,"38,000",2016,1 year,Not Specified,Charter school education,Children and youth; Ethnic and racial groups; Students,Program support,Cash grants,Use at your discretion
CLEAN WATER FUND,Community Labor United,"37,500",2016,1 year,Not Specified,Climate change,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Carbon pricing campaign
"Felicia Fund, Inc.",The Trustees of Reservations,"37,500",2016,1 year,Not Specified,Environment,Indigenous peoples,General support,Cash grants,General support
The Green Street Foundation of San Francisco,"Lawyers' Committee for Civil Rights Under Law of the Boston Bar Association, Inc.","37,500",2016,1 year,Not Specified,Antidiscrimination,Low-income people,General support,Cash grants,Operating support
The Klarman Family Foundation,Sociedad Latina,"37,500",2016,1 year,Not Specified,Human services,Children and youth; Women and girls; People of Latin American descent; Low-income people,Program support,Cash grants,To support the Summerworks program in summers 2016 and 2017
The Klarman Family Foundation,From the Top,"37,500",2016,1 year,Not Specified,Music,People of Latin American descent; Low-income people,Capacity-building and technical assistance,Cash grants,To support capacity building of Sociedad Latina as part of the Barr-klarman Arts Capacity Building Initiative for fiscal years 2015 and 2016
The Boston Foundation,College Bound Dorchester,"37,225",2016,1 year,Not Specified,Education,Children and youth; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Not Specified
Walker Foundation,Indigenous Education Foundation Of,"37,200",2016,1 year,Not Specified,Education,Children and youth; Indigenous peoples; Students,Not Specified,Cash grants,Further education
Charles Hayden Foundation,TechBoston Academy,"37,076",2016,1 year,Not Specified,Education,Children and youth; Men and boys; Students,Program support,Cash grants,"Toward the support of their Summer of Relevance, AKA Cloud 9 has the primary purpose to guide and motivate young men of color to take responsibility for their own development"
"Massachusetts Bar Foundation, Inc.","Massachusetts Advocates for Children, Inc.","37,000",2016,1 year,Not Specified,Family services,Children and youth; Ethnic and racial groups; Economically disadvantaged people; Low-income people; People with disabilities,Program support,Cash grants,Children's law and education justice project
"Network for Good, Inc.",Cambridge Community Foundation,"36,811",2016,1 year,Not Specified,Foundations,Family relationships; Ethnic and racial groups; Immigrants and migrants; Economically disadvantaged people; Artists and performers,General support,Cash grants,Unrestricted
"Community Foundation of North Central Massachusetts, Inc.",Spanish American Center Inc,"36,800",2016,1 year,Not Specified,Human services,Economically disadvantaged people,Capacity-building and technical assistance,Cash grants,Food Assist/Strategic planning
Central Massachusetts Agency Onaging Inc,Centro Las Americas,"36,308",2016,1 year,Not Specified,Senior services,Seniors; People of Latin American descent,Program support,Cash grants,Latino elder outreac
The Children's Hospital Corporation,Sociedad Latina,"36,000",2016,1 year,Not Specified,Community and economic development,Children and youth; Women and girls; People of Latin American descent; Low-income people; Substance abusers,Program support,Cash grants,Community Partnership
The Weezie Foundation,CYCLE Kids Inc.,"36,000",2016,1 year,Not Specified,Children's rights,Economically disadvantaged people,Not Specified,Cash grants,Purpose of grant: general
The Joe Lewis Jefferson Foundation Inc.,Halcyon Music Festival,"35,994",2016,1 year,Not Specified,Music,Ethnic and racial groups,Performances,Cash grants,Fulfill purposes of the organization
United Way of Massachusetts Bay and Merrimack Valley,"La Alianza Hispana, Inc.","35,831",2016,1 year,Not Specified,Human services,People of Latin American descent; Low-income people,Program support,Cash grants,Community Impact
"Third Sector New England, LLC",Wopanaak Language and Cultural Weetyoo Inc,"35,714",2016,1 year,Not Specified,Humanities,American Indians,Program support,Cash grants,Grant- ii slate 2016
"Third Sector New England, LLC",Black Economic Justice Institute,"35,714",2016,1 year,Not Specified,Economic justice,People of African descent; Low-income people,Program support,Cash grants,Grant- ii slate 2016
"Third Sector New England, LLC",City Life/Vida Urbana,"35,714",2016,1 year,Not Specified,Shelter and residential care,People of Latin American descent; Low-income people,Advocacy,Cash grants,Grant- ii slate 2016
"The William P. Goldman and Brothers Foundation, Inc.",American Jewish Committee,"35,710",2016,1 year,Not Specified,Ethnic and racial minority rights,Jewish people,Not Specified,Cash grants,Support
"Network for Good, Inc.",InnerCity Weightlifting,"35,505",2016,1 year,Not Specified,Crime prevention,Low-income people; At-risk youth,General support,Cash grants,Unrestricted
"United Way of Pioneer Valley, Inc.",Gandara Mental Health Center,"35,164",2016,1 year,Not Specified,Mental health care,People with psychosocial disabilities,Not Specified,Cash grants,Health grant
"Bank of America Charitable Foundation, Inc.",Asian American Civic Association I,"35,000",2016,1 year,Not Specified,Community and economic development,People of East Asian descent; Immigrants; Low-income people,General support; Program support,Cash grants,Program/Operating Support
Barr Foundation,Museum of African American History,"35,000",2016,1 month,Not Specified,Arts and culture,People of African descent,General support,Cash grants,"To conduct business planning, plan educational programs, and prepare the board and staff to take advantage of 50TH anniversary fundraising and programming opportunities"
Broadway Cares/Equity Fights Aids,"Community Servings, Inc.","35,000",2016,1 year,Not Specified,Food aid,Ethnic and racial groups; Low-income people; People with disabilities; People with HIV/AIDS,General support,Cash grants,Unrestricted
Cabot Family Charitable Trust,"La Alianza Hispana, Inc.","35,000",2016,1 year,Not Specified,Human services,Low-income people,Not Specified,Cash grants,Charitable purpose
Cabot Family Charitable Trust,Future Chefs,"35,000",2016,1 year,Not Specified,Vocational education,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Equal access; Program support,Cash grants,Charitable purpose
Capital One Foundation,Year Up,"35,000",2016,1 year,Not Specified,Human services,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Sharing the alumni generation
Charles Stewart Mott Foundation,Massachusetts Budget and Policy Center,"35,000",2016,3 months,Education / Expanding Economic Opportunity / Income Security / Fiscal and Tax Policies Affecting Low-Income People,Public finance,Adults; People of Asian descent; Low-income people,Research,Cash grants,"This grant increase is one of ten tie-off grants to state organizations participating in the State Priorities Partnership (formerly the State Fiscal Analysis Initiative). The Ford, Annie E. Casey, and Mott foundations created the initiative in 1992 in order to build state capacity for timely, credible, and accessible tax and budget policy analyses on behalf of low- and moderate-income families. Massachusetts Budget and Policy Center joined this effort in 1993 and has become recognized as an authoritative source of information and analysis. This grant increase will support the grantee's ongoing analytical, communications, and coalition building efforts, with a particular emphasis on education issues."
Doris Duke Charitable Foundation,Emerson College,"35,000",2016,0.58 months,Arts,Musical theater,People of Latin American descent,Performances,Cash grants,"To support El Fuego: Fueling the American Theatre with new Latina/o/x Plays, a multi-year initiative by the Latina/o Theatre Commons (LTC) and partner theatres"
Fidelity Investments Charitable Gift Fund,Boston Plan for Excellence (BPE),"35,000",2016,1 year,Not Specified,Elementary and secondary education,Children and youth; Adults; Ethnic and racial groups; Low-income people; At-risk youth; Students,General support,Cash grants,Not Specified
Fidelity Investments Charitable Gift Fund,"United for a Fair Economy, Inc.","35,000",2016,1 year,Not Specified,Public finance,Low-income people,General support,Cash grants,Not Specified
GlobalGiving,Roxbtjry Weston Nursery School,"35,000",2016,1 year,Not Specified,Equal opportunity in education,Children and youth; Ethnic and racial groups; Low-income people,Fundraising,Cash grants,FUNDS RAISED BY GLOBALGIVING AND DISBURSED TO MEET DONOR EXPECTATIONS
Herman and Frieda L. Miller Foundation,South Boston en Accion,"35,000",2016,1 year,Not Specified,Economic development,People of Latin American descent; Immigrants,General support,Cash grants,General operating support
Merck Family Fund,The Food Project,"35,000",2016,1 year,Not Specified,Basic and emergency aid,Adolescents; Ethnic and racial groups; Low-income people,Program support,Cash grants,To support the dirt crews in lynn and boston over two years as they catalyze urban food production.
National Endowment for the Arts,Boston Childrens Chorus,"35,000",2016,0.92 months,Not Specified,Performing arts education,Boys,Performances,Cash grants,To support the Premier Choir and Young Men's Ensemble.
Nbt II Foundation,The Food Project,"35,000",2016,1 year,Not Specified,Agriculture for youth,Adolescents; Ethnic and racial groups; Low-income people,Program support,Cash grants,Support youth leadership
Noubar & Anna Afeyan Foundation,Beacon Academy Inc,"35,000",2016,1 year,Not Specified,Elementary and secondary education,Children and youth; Ethnic and racial groups; Economically disadvantaged people; Low-income people; Students,Not Specified,Cash grants,Contribution
San Francisco Foundation,Interaction Institute for Social Change,"35,000",2016,1 year,Not Specified,Ethnic and racial minority rights,Adults; Ethnic and racial groups; Low-income people,Not Specified,Cash grants,"See schedule i, part iv"
Silicon Valley Community Foundation,Bellwether Education Partners,"35,000",2016,1 year,Not Specified,Elementary and secondary education,Children and youth; Ethnic and racial groups; Low-income people; At-risk youth; Students,Systems reform,Cash grants,Not Specified
Silicon Valley Community Foundation,Bellwether Education Partners,"35,000",2016,1 year,Not Specified,Elementary and secondary education,Children and youth; Ethnic and racial groups; Low-income people; At-risk youth; Students,Systems reform,Cash grants,Not Specified
"State Street Foundation, Inc.","Breakthrough Greater Boston, Inc.","35,000",2016,1 year,Not Specified,Middle school education,Children and youth; Preteens; Adolescents; Ethnic and racial groups; Low-income people; Students,Advocacy,Cash grants,Breaking Through to Boston Year 4
"State Street Foundation, Inc.",Educational Development Group (edg),"35,000",2016,1 year,Not Specified,ESL and second language acquisition,Ethnic and racial groups; Immigrants; Low-income people; Students,Program support,Cash grants,Acceleiated English Ptus
"State Street Foundation, Inc.","Breakthrough Greater Boston, Inc.","35,000",2016,1 year,Not Specified,Antidiscrimination,Children and youth; Preteens; Adolescents; Ethnic and racial groups; Low-income people; Students,Advocacy,Not Specified,Breaking Through to Boston Year 4
"State Street Foundation, Inc.",United South End Settlements,"35,000",2016,1 year,Not Specified,Employment,Ethnic and racial groups; Low-income people,Program support,Cash grants,Workforce Readiness
"State Street Foundation, Inc.",Summer Search Boston,"35,000",2016,1 year,Not Specified,Youth organizing,Adolescents; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Summei Search Boston
The Boston Foundation,Youth Enrichment Services (YES),"35,000",2016,1 year,Not Specified,Human services,Children and youth; Ethnic and racial groups; Low-income people,Program support,Cash grants,Not Specified
The Comcast Foundation,Urban League of Eastern Massachusetts,"35,000",2016,1 year,Not Specified,Computer literacy,Students,Information technology; Program support,Cash grants,Computer Literacy Internet Knowledge & Training (CLIK+t)
"The Hyams Foundation, Inc.",Brazilian Women's Group Inc,"35,000",2016,1 year,Not Specified,Women's rights,Women and girls,Program support,Cash grants,Community identified issues
"The Hyams Foundation, Inc.","Lawyers' Committee for Civil Rights Under Law of the Boston Bar Association, Inc.","35,000",2016,1 year,Not Specified,Legal services,Ethnic and racial groups,Equal access; Program support,Cash grants,Important racial justice issues
"The Hyams Foundation, Inc.",Neighborhood Of Affordable Housing (NOAH),"35,000",2016,1 year,Not Specified,Community improvement,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Community identified issues
The Kaplan Goldstein Family Foundation,Rian Immigrant Center,"35,000",2016,1 year,Not Specified,Community and economic development,Ethnic and racial groups; Immigrants; Low-income people,Not Specified,Cash grants,"Provide legal, education services and facilitate cross-cultural community building."
"The Liberty Mutual Foundation, Inc.","Breakthrough Greater Boston, Inc.","35,000",2016,1 year,Not Specified,Middle school education,Children and youth; Preteens; Adolescents; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Discretionary
"The Liberty Mutual Foundation, Inc.",Sociedad Latina,"35,000",2016,1 year,Not Specified,Homeless services,Adolescents; Homeless people,Presentations and productions,Cash grants,Youth Homelessness
The Ludcke Foundation,"Youthbuild Boston, Inc.","35,000",2016,1 year,Not Specified,Youth development,Adolescents; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General purposes
The O'Shea Family Foundation,Year Up,"35,000",2016,1 year,Not Specified,Philanthropy,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Capacity-building and technical assistance,Cash grants,All contributions were made to the generalpurpose fund of public charitable organizations that were classified under Section 501[C][3] of the Internal Revenue Code
The Penates Foundation,Camp Harbor View Foundation Inc.,"35,000",2016,1 year,Not Specified,Camps,Children and youth; Adolescents; Family relationships; Ethnic and racial groups; Economically disadvantaged people; Low-income people; At-risk youth,Not Specified,Cash grants,Education
The Robert and Michelle Cooke Atchinson Foundation,Ron Burton Training Village Camp,"35,000",2016,1 year,Not Specified,Community recreation,Children and youth,Program support,Cash grants,To enrich the lives of challenged youth in areas of character and leadership
The William O. & Carole P. Bailey Family Foundation,Enchanted Circle Inc,"35,000",2016,1 year,Not Specified,Theater,Children and youth; Ethnic and racial groups; At-risk youth; Students,Not Specified,Cash grants,Charitable support
Vanguard Charitable Endowment Program,"Groundwork Lawrence, Inc.","35,000",2016,1 year,Human Services,Human services,Ethnic and racial groups; Low-income people,General support,Cash grants,General operating expenses
William E. Schrafft and Bertha E. Schrafft Charitable Trust,Neighborhood House Charter School,"35,000",2016,1 year,Not Specified,Arts and culture,People of African descent,Program support,Cash grants,Creative Arts Program
"Currents of Change, Inc.","Arise, Inc.","35,000",2016,1 year,Not Specified,Human services,Women and girls; Ethnic and racial groups; Low-income people,General support,Cash grants,General fund
"Enterprise Community Partners, Inc.",Urban Edge,"35,000",2016,1 year,Not Specified,Human rights,Ethnic and racial groups; Low-income people,Capacity-building and technical assistance,Cash grants,Capacity building
Fidelity Investments Charitable Gift Fund,Cathedral High School Inc,"35,000",2016,1 year,Not Specified,Secondary education,Adolescent boys; People of Latin American descent,General support,Cash grants,Not Specified
Fidelity Investments Charitable Gift Fund,Nativity Boston,"35,000",2016,1 year,Not Specified,Middle school education,Preteen boys; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Not Specified
Fidelity Investments Charitable Gift Fund,Bethel African Methodist Episcopal Church,"35,000",2016,1 year,Not Specified,Methodism,People of African descent; Episcopalians and Anglicans; Methodists,General support,Cash grants,Not Specified
Fidelity Investments Charitable Gift Fund,Bethel African Methodist Episcopal Church,"35,000",2016,1 year,Not Specified,Methodism,People of African descent; Episcopalians and Anglicans; Methodists,General support,Cash grants,Not Specified
The Boston Foundation,"Artists for Humanity, Inc.","35,000",2016,1 year,Not Specified,Human services,Adolescents; Ethnic and racial groups; Low-income people,Program support,Cash grants,Not Specified
The Elizabeth T. Fessenden Charitable Foundation,The Trustees of Reservations,"35,000",2016,1 year,Not Specified,Land resources,Indigenous peoples,General support,Cash grants,General funds
The Pitney Bowes Foundation,Jumpstart for Young Children,"34,850",2016,1 year,Not Specified,Child educational development,Infants and toddlers,Program support,Cash grants,Jumpstart: kindergarten readiness for all program
Elisha V. Ashton Trust,Dimock Community Health Center,"34,800",2016,1 year,Not Specified,Health care clinics,Ethnic and racial groups; Low-income people,General support,Cash grants,General
"Network for Good, Inc.",Brooke Schools Foundation,"34,419",2016,1 year,Not Specified,Charter school education,Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Unrestricted
Conard-Davis Family Foundation,Year Up,"34,000",2016,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General support
Fidelity Investments Charitable Gift Fund,"Tenacity, Inc.","34,000",2016,1 year,Not Specified,Racquet sports,Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Not Specified
Fidelity Investments Charitable Gift Fund,Robert F. Kennedy Children's Action Corps,"34,000",2016,1 year,Not Specified,Child welfare,Children and youth; Adolescents; Ethnic and racial groups; Low-income people; At-risk youth; People with disabilities,General support,Cash grants,Not Specified
Jockers Family Foundation,Beacon Academy Inc,"34,000",2016,1 year,Not Specified,Elementary and secondary education,Children and youth; Ethnic and racial groups; Economically disadvantaged people; Low-income people; Students,General support,Cash grants,General
Kingsbury Road Charitable Foundation,"Tenacity, Inc.","34,000",2016,1 year,Not Specified,Youth organizing,Terminally ill people,General support,Cash grants,General charitable purposes
President and Fellows of Harvard College,Action for Boston Community Development,"33,909",2016,1 year,Not Specified,Human services,Children and youth; Adults; Families; Ethnic and racial groups; Immigrants and migrants; Economically disadvantaged people; Low-income people,Research and evaluation,Cash grants,COMMUNITY GIFTS AND CHARITABLE CONTRIBUTIONS AND SPONSORED RESEARCH SUB-AWARD
"Philanthropy Massachusetts, Inc.",Sportsmen's Tennis & Enrichment Center,"33,710",2016,1 year,Not Specified,Racquet sports,Children and youth; Ethnic and racial groups; Low-income people,Program support,Cash grants,For operating and program support.
"OneWorld Boston, Inc.",Jewish Vocational Service,"33,334",2016,1 year,Not Specified,Job training,Ethnic and racial groups; Immigrants and migrants; Low-income people; Students,Not Specified,Cash grants,Human services - employment training
"OneWorld Boston, Inc.","Asian American Civic Association, Inc.","33,334",2016,1 year,Not Specified,Education,Students,Program support,Cash grants,Education - other
"Mass General Brigham, Inc.",Dimock Community Health Center,"33,333",2016,1 year,Not Specified,Benefits planning,Ethnic and racial groups; Low-income people,Program support,Cash grants,Community benefit program
"Mass General Brigham, Inc.",Dimock Community Health Center,"33,333",2016,1 year,Not Specified,Benefits planning,Ethnic and racial groups; Low-income people,Program support,Cash grants,Community benefit program
"OneWorld Boston, Inc.","The Neighborhood Developers, Inc.","33,333",2016,1 year,Not Specified,Human services,Ethnic and racial groups; Immigrants; Low-income people,Program support,Cash grants,Human services - anti-poverty
"OneWorld Boston, Inc.",Boston Chinatown Neighborhood Center,"33,333",2016,1 year,Not Specified,Family services,Families,Program support,Cash grants,Human services - strong families/communities
"OneWorld Boston, Inc.",The Food Project,"33,333",2016,1 year,Not Specified,Human rights,Adolescents; Ethnic and racial groups; Low-income people,Program support,Cash grants,Social Justice
"OneWorld Boston, Inc.",Youth Enrichment Services (YES),"33,333",2016,1 year,Not Specified,Youth services,Adolescents,Program support,Cash grants,Human services - youth activities/services
"OneWorld Boston, Inc.",Ron Burton Training Village Camp,"33,333",2016,1 year,Not Specified,Camps,Children and youth,Program support,Cash grants,Human services - youth activities/services
"OneWorld Boston, Inc.",GROUNDWORK SOMERVILLE INC,"33,333",2016,1 year,Not Specified,Job training,Ethnic and racial groups; Low-income people,Program support,Cash grants,Human services - employment training
"OneWorld Boston, Inc.",Salem Academy Charter School Foundation (Salem Foundation for Service Education Inc.),"33,333",2016,1 year,Not Specified,Charter school education,Children and youth; Adolescents; Adults; Ethnic and racial groups; Students,Not Specified,Cash grants,Education - charter/private/college
The Imago Dei Fund,Black Ministerial Alliance,"33,333",2016,1 year,Not Specified,Graduate and professional education,People of African descent; Christians; Low-income people,General support,Cash grants,General use
Boston Medical Center Corporation,Center for Community Health Edresearch and Service Inc,"33,228",2016,1 year,Not Specified,Community and economic development,Low-income people,Program support,Cash grants,Subaward
Deborah M. Noonan Memorial Fund,"Quincy Asian Resources, Inc.","33,000",2016,1 year,Not Specified,Immigrant services,People of Asian descent; Immigrants and migrants; Low-income people,General support,Cash grants,Unrestricted general support
Social Venture Partners Boston,Bottom Line,"33,000",2016,1 year,Not Specified,College preparation,Adolescents; Low-income people; Students,General support,Cash grants,General operating support
The Boston Foundation,Dudley Street Neighborhood Initiative,"33,000",2016,1 year,Not Specified,Community organizing,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Not Specified
The Lenny Zakim Fund,Centro Comunitario de Trabajadores,"33,000",2016,1 year,Not Specified,Community and economic development,People of Latin American descent; Immigrants and migrants,General support,Cash grants,General operations
"Network for Good, Inc.","GreenLight Fund, Inc.","32,898",2016,1 year,Not Specified,Urban development,Ethnic and racial groups; Low-income people,General support,Cash grants,Unrestricted
United Way of Massachusetts Bay and Merrimack Valley,Mujeres Unidas Avanzando,"32,421",2016,1 year,Not Specified,Women's services,Women and girls; People of Latin American descent; Immigrants; Low-income people; Students,Program support,Cash grants,Community Impact
Schwab Charitable,Effortz Foundation Inc,"32,400",2016,1 year,Not Specified,Health,Economically disadvantaged people,Program support,Cash grants,Health & Human Services
President and Fellows of Harvard College,Chelsea Collaborative Inc,"32,375",2016,1 year,Not Specified,Human services,Ethnic and racial groups; Immigrants and migrants; Low-income people,Research and evaluation; Individual development,Cash grants,SPONSORED RESEARCH SUB-AWARD
"EdVestors, Inc.",Sociedad Latina,"32,000",2016,1 year,Not Specified,Elementary and secondary education,Students,Program support,Cash grants,"Sociedad latina-timilty middle, tobink-8,binca arts grant 2016. To expand arts education for school children in boston public schools. Round 7 & 8 2015-2017."
"EdVestors, Inc.",BalletRox Inc.,"32,000",2016,1 year,Not Specified,Elementary and secondary education,Students,Program support,Cash grants,"Balletrox-curley, hennigan, mather. To expand arts education for school children in boston public schools. Round 7 & 8 2015-2017."
