Grant Funder Name,Grant Recipient Name,Grant Total Amount,Grant Fiscal Year,Grant Duration,Grant Program Area,Grant Primary Subject,Grant Population Served,Grant Support Strategy,Grant Transaction Type,Grant Description
Noubar & Anna Afeyan Foundation,Beacon Academy Inc,"35,000",2018,1 year,Not Specified,Education services,Children and youth; Ethnic and racial groups; Economically disadvantaged people; Low-income people; Students,Program support,Cash grants,Contribution
Parker Family Foundation,"Theater Offensive, Inc.","35,000",2018,1 year,Not Specified,Theater,LGBTQ people; Ethnic and racial groups,General support,Cash grants,UNRESTRICTED GENERAL SUPPORT
Perpetual Trust for Charitable Giving,Brockton Neighborhood Health Center,"35,000",2018,2 months,Health Care\Hospitals\Community Health Systems,Community health care,Immigrants and migrants,Program support,Cash grants,Language Access - Interpreter Services
President and Fellows of Harvard College,South End Community Health Center Inc,"35,000",2018,1 year,Not Specified,Health care clinics,Ethnic and racial groups; Low-income people,"Research; Awards, prizes and competitions",Cash grants,Sponsored Research Sub-Award
Silicon Valley Community Foundation,Year Up,"35,000",2018,1 year,Two-Year Colleges,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Not Specified
"State Street Foundation, Inc.","Community Servings, Inc.","35,000",2018,1 year,Support Services - Hunger Reduction,Job training,Ethnic and racial groups; Low-income people; People with disabilities; People with HIV/AIDS,Program support,Cash grants,Community Servings' Teaching Kitchen Food-service Job Training Program
"State Street Foundation, Inc.",Boston Employment Service,"35,000",2018,1 year,Employment Programs - Youth Job Readiness and Employment,Job services,Adolescents; Incarcerated people; Unemployed people,Not Specified,Cash grants,STRIVE Forward Juvenile Justice Initiative 2019
"State Street Foundation, Inc.","Quincy Asian Resources, Inc.","35,000",2018,1 year,Educational Programs - Adult Language Literacy,ESL and second language acquisition,Students,Curriculum development,Cash grants,College and Career Integrated English in for Quincy’s Newcomers
"State Street Foundation, Inc.",Steppingstone Foundation,"35,000",2018,1 year,Educational Programs - Youth Post-Secondary Credentials,Higher education,Adolescents,Program support,Cash grants,The Steppingstone Foundation - Preparing Boston Students for College Access and Success
The Andreas Foundation,Grub Street Inc.,"35,000",2018,1 year,Not Specified,Literature and writing,Adolescents; Adults; Ethnic and racial groups; Multiracial people,Not Specified,Cash grants,GRANT IS FOR RECIPIENTS GENERAL FUND
The Boston Foundation,La Vida,"35,000",2018,1 year,Youth Development,Youth development,Children and youth,General support,Cash grants,For general/unrestricted support
The Boston Foundation,La Vida,"35,000",2018,1 year,Youth Development,Youth development,Children and youth,General support,Cash grants,For general/unrestricted support
The Cedar Street Foundation,Building Excellent Schools Inc,"35,000",2018,1 year,Not Specified,Educational management,Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Unrestricted support
The Elizabeth T. Fessenden Charitable Foundation,The Trustees of Reservations,"35,000",2018,1 year,Not Specified,Land resources,Indigenous peoples,General support,Cash grants,General funds
The Ezrah Charitable Trust,South African Education and Environment Project Usa,"35,000",2018,1 year,Not Specified,Not Specified,Ethnic and racial groups,General support,Cash grants,General support
The Flatley Foundation,Nativity Boston,"35,000",2018,1 year,Not Specified,Graduate and professional education,Preteen boys; Ethnic and racial groups; Low-income people; Students,Scholarships,Cash grants,Scholarships
The Genevieve McMillan-Reba Stewart Foundation,The City School,"35,000",2018,1 year,Not Specified,Elementary and secondary education,At-risk youth; Students,Program support,Cash grants,Charitable
"The Hyams Foundation, Inc.",Muslim American Society of Boston,"35,000",2018,1 year,Not Specified,Human rights,Ethnic and racial groups; Muslims,Public engagement and education; Program support,Cash grants,Community identified issues
The Janey Fund Charitable Trust,Newton Community Service Centers,"35,000",2018,1 year,Not Specified,Human services,Children and youth; Ethnic and racial groups; Low-income people,General support,Cash grants,UNRESTRICTED
The Klarman Family Foundation,The Center for Teen Empowerment,"35,000",2018,1 year,Good Philanthropic Citizen and Community Grants; Civic & Community,Youth organizing,Children and youth; Adolescents; Ethnic and racial groups; Low-income people; At-risk youth,Equipment; Information technology,Cash grants,To support the purchase of video conferencing equipment and software
"The Liberty Mutual Foundation, Inc.","Epiphany School, Inc.","35,000",2018,1 year,Not Specified,Environmental education,Preteens; Ethnic and racial groups; Protestants; Low-income people; Students,Not Specified,Cash grants,Rapid Rehousing DV
"The Liberty Mutual Foundation, Inc.",Jumpstart for Young Children,"35,000",2018,1 year,Not Specified,Family services,Children and youth; Children; Ethnic and racial groups; Low-income people; Students,Program expansion,Cash grants,Capstone Program Expansion Homelessness
The Ludcke Foundation,The Food Project,"35,000",2018,1 year,Not Specified,Organic farming,Adolescents; Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Not Specified
The Nathan Cummings Foundation,Join for Justice Inc.,"35,000",2018,1 month,Integration/Exploration,Human rights,Adults; Jewish people,Continuing support; Program support,Cash grants,"Renewed support for a Resilience Circle for Jewish women leaders of color that merges transformational activism, spirituality and self-care in order to (1) catalyze an increase in resilience practices that sustain participants' leadership, (2) reduce stress of erasure, tokenization, unaware racism and anti-Semitism, (3) deepen relationships between women of color and Jewish women of color, (4) distribute best practices for their use within broader social justice community. Dimensions will be successful if they host two more in-person 4-day gatherings as well as 3 webinar skill-building sessions."
The Needmor Fund,Massachusetts Community Action Network,"35,000",2018,1 year,Not Specified,Community organizing,Ethnic and racial groups; Low-income people,General support,Cash grants,General operating support
The Royer Family Charitable Foundation,Found in Translation,"35,000",2018,1 year,Not Specified,Immigrant rights,Immigrants,Equal access; Translation,Cash grants,Support for immigrant train & educ.
Theodore Edson Parker Foundation,PROJECT CITIZENSHIP INC,"35,000",2018,1 year,Not Specified,Civic participation,Immigrants,Program support,Cash grants,Citizenship services in lowell
"Tufts Associated Health Maintenance Organization, Inc.","Caribe Communications & Publications, Inc.","35,000",2018,1 year,Not Specified,Cultural awareness,People of Latin American descent,Program support,Cash grants,El Mundo Hispanic Heritage Breakfast and Comcast Family Festival
William E. Schrafft and Bertha E. Schrafft Charitable Trust,Neighborhood House Charter School,"35,000",2018,1 year,Not Specified,Charter school education,People of African descent,Program support,Cash grants,Creative Arts Program
Fidelity Investments Charitable Gift Fund,"The Immigrant Learning Center, Inc.","34,850",2018,1 year,Not Specified,ESL and second language acquisition,Ethnic and racial groups; Immigrants; Refugees and displaced people; Low-income people; Students,General support,Cash grants,For grant recipient's exempt purposes
Fidelity Investments Charitable Gift Fund,Girls LEAP Self-Defense,"34,750",2018,1 year,Not Specified,Youth organizing,Girls; Ethnic and racial groups; Low-income people,General support,Cash grants,For grant recipient's exempt purposes
Elisha V. Ashton Trust,The Fragment Society,"34,600",2018,1 year,Not Specified,In-patient medical care,Ethnic and racial groups,General support,Cash grants,General
Elisha V. Ashton Trust,Dimock Community Health Center,"34,600",2018,1 year,Not Specified,In-patient medical care,Ethnic and racial groups; Low-income people,General support,Cash grants,General
"Palace Head Foundation, Inc.","Epiphany School, Inc.","34,600",2018,1 year,Not Specified,Religion,Preteens; Ethnic and racial groups; Protestants; Low-income people; Students,Not Specified,Cash grants,RELIGIOUS
Garden Neighborhood Charities,Action for Boston Community Development,"34,512",2018,1 year,Not Specified,Human services,Children and youth,Program support,Cash grants,Program services
The Fish Family Foundation,"Asian American Civic Association, Inc.","34,250",2018,1 year,Not Specified,Humanities,People of East Asian descent; Immigrants; Low-income people,Not Specified,Cash grants,"ARTS, CULTURE & HUMANITIES"
Jockers Family Foundation,Beacon Academy Inc,"34,000",2018,1 year,Not Specified,Elementary and secondary education,Children and youth; Ethnic and racial groups; Economically disadvantaged people; Low-income people; Students,General support,Cash grants,General
Kingsbury Road Charitable Foundation,"Tenacity, Inc.","34,000",2018,1 year,Not Specified,Sports,Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General charitable purposes
The Schooner Foundation,Black Ministerial Alliance,"34,000",2018,1 year,Not Specified,Community improvement,People of African descent; Christians; Low-income people,General support,Cash grants,General Support
Highland Street Foundation,Nativity School of Worcester,"33,750",2018,1 year,Not Specified,Middle school education,Children and youth,Not Specified,Cash grants,For educational programs
The Fish Family Foundation,Agencia Alcanzando Logros Para Hispanos Ahora,"33,550",2018,1 year,Not Specified,Immigrant services,People of Latin American descent; Immigrants and migrants,Program support,Cash grants,HUMAN SERVICES
Central Massachusetts Agency Onaging Inc,Centro Las Americas,"33,405",2018,1 year,Not Specified,Immigrant services,Adults; People of Latin American descent,Not Specified,Cash grants,Latino elder outreac
"OneWorld Boston, Inc.",Boston Chinatown Neighborhood Center,"33,334",2018,1 year,Not Specified,Family services,Children and youth; People of East Asian descent; Immigrants and migrants; Immigrants; Low-income people,Program support,Cash grants,Human services - strong families/communities
"OneWorld Boston, Inc.",Found in Translation,"33,334",2018,1 year,Not Specified,Job training,Women; Ethnic and racial groups; Homeless people; Low-income people,Equal access; Translation,Cash grants,Human services - employment training
"OneWorld Boston, Inc.",GROUNDWORK SOMERVILLE INC,"33,334",2018,1 year,Not Specified,Job training,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Human services - employment training
"OneWorld Boston, Inc.",Salem Academy Charter School Foundation (Salem Foundation for Service Education Inc.),"33,334",2018,1 year,Not Specified,Charter school education,Preteens,Not Specified,Cash grants,Education - charter/private/college
"OneWorld Boston, Inc.","La Alianza Hispana, Inc.","33,333",2018,1 year,Not Specified,Family services,Economically disadvantaged people,Program support,Cash grants,Human services - strong families/communities
"OneWorld Boston, Inc.",Essex County Community Organization,"33,333",2018,1 year,Not Specified,Immigrant services,Ethnic and racial groups; Immigrants; Refugees and displaced people; Economically disadvantaged people,Not Specified,Cash grants,Human services - immigrant/refugee assistance
"OneWorld Boston, Inc.",Boston Scores,"33,333",2018,1 year,Not Specified,Reading promotion,Children and youth; Ethnic and racial groups; Low-income people; At-risk youth; Students,Program support,Cash grants,Education - out-of-school time
"OneWorld Boston, Inc.","Breakthrough Greater Boston, Inc.","33,333",2018,1 year,Not Specified,Education services,Children and youth; Preteens; Adolescents; Ethnic and racial groups; Low-income people; Students,Public engagement and education; Program support,Cash grants,Educational Awareness
"OneWorld Boston, Inc.",LATINO STEM ALLIANCE,"33,333",2018,1 year,Not Specified,Out-of-school learning,Children and youth; People of Latin American descent; Students,Program support,Cash grants,Education - out-of-school time
"OneWorld Boston, Inc.",Girls LEAP Self-Defense,"33,333",2018,1 year,Not Specified,Youth organizing,Children and youth,Program support,Cash grants,Youth Welfare Program
"OneWorld Boston, Inc.",Boston Debate League,"33,333",2018,1 year,Not Specified,Humanities,Preteens; Adolescents; Ethnic and racial groups; Students,Program support,Cash grants,Educational Programming
"OneWorld Boston, Inc.","Community Servings, Inc.","33,333",2018,1 year,Not Specified,Out-patient medical care,Ethnic and racial groups; Low-income people; People with disabilities; People with HIV/AIDS,Capacity-building and technical assistance; Program support,Cash grants,Community Healthcare Program
"OneWorld Boston, Inc.","Hyde Square Task Force, Inc.","33,333",2018,1 year,Not Specified,Out-of-school learning,Academics,Not Specified,Cash grants,Education - out-of-school time
"OneWorld Boston, Inc.",Our Restorative Justice,"33,333",2018,1 year,Not Specified,Dispute resolution,Ethnic and racial groups; Offenders; Victims of crime and abuse,Program support,Cash grants,Social Justice
"OneWorld Boston, Inc.","Asian American Civic Association, Inc.","33,333",2018,1 year,Not Specified,Democracy,People of East Asian descent; Immigrants; Low-income people,Public engagement and education,Cash grants,Educational Awareness
"OneWorld Boston, Inc.","Tenacity, Inc.","33,333",2018,1 year,Not Specified,Elementary and secondary education,Children and youth; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Education - K-12/college
"OneWorld Boston, Inc.",The City School,"33,333",2018,1 year,Not Specified,Elementary and secondary education,Students,Scholarships,Cash grants,Educational Scholarships
The Boston Foundation,SquashBusters Inc.,"33,333",2018,1 year,Youth Development,Racquet sports,Children and youth; Ethnic and racial groups; Low-income people,General support,Cash grants,For general/unrestricted support
The George and Alice Rich Charitable Foundation,"Asian American Civic Association, Inc.","33,000",2018,1 year,Not Specified,Immigrant services,People of East Asian descent; Immigrants; Low-income people,Not Specified,Cash grants,DONATION TO SUPPORT THE CHARITY'S MISSION
The Imago Dei Fund,Black Ministerial Alliance,"33,000",2018,1 year,Not Specified,Graduate and professional education,People of African descent; Christians; Low-income people,General support,Cash grants,General use
East Bay Community Foundation,President and Fellows of Harvard College,"32,500",2018,1 year,Not Specified,Black studies,People of African descent; Researchers,Research,Cash grants,"General support for education, support for the harvard first year outdoor program, the hutchins center for african & african american research"
Fidelity Investments Charitable Gift Fund,"Lawyers' Committee for Civil Rights Under Law of the Boston Bar Association, Inc.","32,300",2018,1 year,Not Specified,Antidiscrimination,Ethnic and racial groups; Low-income people,General support,Cash grants,For grant recipient's exempt purposes
Swinmurn Family Foundation,MAYA MIDWIFERY INTERNATIONAL INC,"32,000",2018,1 year,Not Specified,Childbirth,Ethnic and racial groups; Economically disadvantaged people,Leadership and professional development,Cash grants,To provide midwifery and medical services to remote communities and to fund the training of One midwife to obtain an official Guatemalan nursing qualification
The Sharpe Family Foundation,UTEC,"32,000",2018,1 year,Not Specified,Youth development,Adolescents; Young adults; Ethnic and racial groups; Immigrants and migrants; Low-income people,Not Specified,Cash grants,Charitable
Cambridge Community Foundation,Cambridge Community Foundation,"31,972",2018,1 year,Not Specified,Community recreation,Family relationships; Ethnic and racial groups; Immigrants and migrants; Economically disadvantaged people; Artists and performers,Not Specified,Cash grants,PROGRAM ASSISTANCE
Jewish Communal Fund,CYCLE Kids Inc.,"31,500",2018,1 year,Not Specified,Bicycling and pedestrian-oriented development,Children and youth; Ethnic and racial groups; Health,General support,Cash grants,General Support
"Combined Jewish Philanthropies of Greater Boston, Inc.","GreenLight Fund, Inc.","31,400",2018,1 year,Not Specified,Urban development,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,DAF -General Philanthropy
Permanent Endowment for Marthas Vineyard Inc,"Martha's Vineyard Hospital, Inc.","31,400",2018,1 year,Not Specified,Health care financing,Age Groups; Ethnic and racial groups; Social and economic status; Health,Program support,Cash grants,To help patients cover their health care costs
The Susan F. Schiro and Peter J. Manus Foundation,Initiative for A Competitive Inner City Inc,"31,000",2018,1 year,Not Specified,Public administration,Children and youth; At-risk youth,Not Specified,Cash grants,To further recipient's tax-exempt purpose
UnidosUS,Centro de Apoyo Familiar,"31,000",2018,1 year,Not Specified,Human rights,People of Latin American descent,Not Specified,Cash grants,Grants
Essex County Community Foundation,"Groundwork Lawrence, Inc.","30,750",2018,1 year,Not Specified,Natural resources,Ethnic and racial groups; Low-income people,General support,Cash grants,GENERAL SUPPORT
United Way of Massachusetts Bay and Merrimack Valley,Mujeres Unidas Avanzando,"30,556",2018,1 year,Not Specified,Community and economic development,Women and girls; People of Latin American descent; Immigrants; Low-income people; Students,Program support,Cash grants,Community Impact
Marigold Charitable Trust,Children's Hospital Corporation,"30,017",2018,1 year,Not Specified,Mental health care,Children; Ethnic and racial groups; People with disabilities; Students,Program support,Cash grants,Mental health project/somali elementary school-age children
Merck Family Fund,The Food Project,"30,000",2018,1 year,2017 Fall - Urban Farming and Youth Leadership,Agriculture for youth,Farmers,Not Specified,Cash grants,To support youth leadership to grow and distribute fresh food and work for food system change in their communities.
Amelia Peabody Foundation,Friends of the Children - Boston,"30,000",2018,1 year,Not Specified,Child welfare,Children and youth; Immigrants and migrants,Capacity-building and technical assistance,Cash grants,"Strategic Plan, for one year"
Amelia Peabody Foundation,Bottom Line,"30,000",2018,1 year,Not Specified,Business and industry,Adolescents; Ethnic and racial groups; Economically disadvantaged people; Students,Program support,Cash grants,Bottom Line Worcester Program and Operations
Amelia Peabody Foundation,Immigrant Family Services Institute,"30,000",2018,1 year,Not Specified,Family services,Ethnic and racial groups; Immigrants; Economically disadvantaged people,Program support,Cash grants,IFSI Leadership Academy Program
Amica Companies Foundation,Year Up,"30,000",2018,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Not Specified
"Bank of America Charitable Foundation, Inc.","Artists for Humanity, Inc.","30,000",2018,1 year,Not Specified,Arts services,Adolescents; Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Program/operating support
"Bank of America Charitable Foundation, Inc.","Asian American Civic Association, Inc.","30,000",2018,1 year,Not Specified,Immigrant services,People of East Asian descent; Immigrants; Low-income people,Not Specified,Cash grants,Program/operating support
Barr Foundation,Massachusetts Community Action Network,"30,000",2018,1.5 months,Not Specified,Diversity and intergroup relations,Ethnic and racial groups; Low-income people,Capacity-building and technical assistance,Cash grants,"To support diversity, equity, and inclusion planning and capacity building"
Boston Baptist Social Union,Emmanuel Gospel Center,"30,000",2018,1 year,Not Specified,Arts and culture,Ethnic and racial groups; Immigrants; Low-income people,General support,Cash grants,GENERAL SUPPORT
Cedar Tree Foundation,Chelsea Collaborative Inc,"30,000",2018,1 year,Not Specified,Human services,Ethnic and racial groups; Immigrants and migrants; Low-income people,Advocacy,Cash grants,Project support for the Chelsea Desea Sonar after-school program
Chamberlin Family Foundation,Teach Plus,"30,000",2018,1 year,Not Specified,Elementary and secondary education,Children and youth; Ethnic and racial groups; Low-income people; Students; Teachers,Program support,Cash grants,Program support
"Clowes Fund, Inc.","The Neighborhood Developers, Inc.","30,000",2018,1 year,Workforce Development,Employment,Ethnic and racial groups; Immigrants; Low-income people,Capacity-building and technical assistance,Cash grants,CONNECT Capacity Building Efforts and Financial Capability Programming
"Clowes Fund, Inc.",Mujeres Unidas Avanzando,"30,000",2018,1 year,"Immigrants, Refugees and Asylees",Women's services,Refugees and displaced people,Program support,Cash grants,MUA's Adult Basic Education (ABE) program
"Currents of Change, Inc.",Coalition For Social Justice Education Fund,"30,000",2018,1 year,Not Specified,Human rights,Women and girls; Ethnic and racial groups; Immigrants and migrants; Economically disadvantaged people; Low-income people; Incarcerated people,Program support,Cash grants,3Eneral fund
"Currents of Change, Inc.",Womens Institute for Leadership Development,"30,000",2018,1 year,Not Specified,Leadership development,Women and girls; Ethnic and racial groups; Low-income people,Management and leadership development; Program support,Cash grants,3Eneral fund
"Dana-Farber Cancer Institute, Inc.",PROSTATE HEALTH EDUCATION NETWORK INC,"30,000",2018,1 year,Not Specified,Prostate cancer,Men and boys; People of African descent,Program support,Cash grants,Cancer res and devlp
Deborah Munroe Noonan Memorial Fund,Dimock Community Health Center,"30,000",2018,1 month,Not Specified,Out-patient medical care,Children and youth; Families; Ethnic and racial groups; Low-income people,Program support,Cash grants,Children and Family Services
Deborah Munroe Noonan Memorial Fund,"Artists for Humanity, Inc.","30,000",2018,2 months,Not Specified,Humanities,Adolescents; Ethnic and racial groups; Low-income people,General support,Cash grants,General Operations of the Organization
Devonshire Foundation,Transformative Culture Project (Press Pass TV Inc),"30,000",2018,1 year,Not Specified,Cultural awareness,Ethnic and racial groups; Economically disadvantaged people,Capacity-building and technical assistance; Earned income,Cash grants,Earned revenue business plan
Edwin S. Webster Foundation,Friends of the Children - Boston,"30,000",2018,1 year,Not Specified,Child welfare,Children and youth; Ethnic and racial groups; Low-income people; At-risk youth,General support,Cash grants,GENERAL OPERATING SUPPORT
"Enterprise Community Partners, Inc.",Urban Edge,"30,000",2018,1 year,Not Specified,Housing for the homeless,Ethnic and racial groups; Low-income people,Capacity-building and technical assistance,Cash grants,Capacity building
Essex County Community Foundation,The Trustees of Reservations,"30,000",2018,1 year,Not Specified,Land resources,American Indians,General support,Cash grants,GENERAL SUPPORT
Further Forward Foundation Inc,Jewish Vocational Service,"30,000",2018,1 year,Not Specified,Vocational rehabilitation,Ethnic and racial groups; Immigrants and migrants; Low-income people; Students,Not Specified,Cash grants,vocationaltrainingpartnerships
"Grassroots International, Inc.",Alternatives for Community and Environment,"30,000",2018,1 year,Not Specified,Environmental justice,Ethnic and racial groups; Low-income people,General support,Cash grants,General support
Herman and Frieda L. Miller Foundation,Massachusetts Community Action Network,"30,000",2018,1 year,Not Specified,Diversity and intergroup relations,Ethnic and racial groups; Low-income people,Capacity-building and technical assistance,Cash grants,UNDOING RACISM ORGANIZATIONAL CHANGE PROCESS
"J. E. & Z. B. Butler Foundation, Inc.","Community Servings, Inc.","30,000",2018,1 year,Not Specified,Nutrition,Children and youth; People with diseases and illnesses,Program support,Cash grants,Nutrition Program Support for home delivered nutrition program for children and families affected by life threatening illnesses
"Josephine and Louise Crane Foundation, Inc.",Union of Minority Neighborhoods,"30,000",2018,1 year,Not Specified,Organized labor,Ethnic and racial groups; Low-income people,General support,Cash grants,Unrestricted
"Josephine and Louise Crane Foundation, Inc.","Lawyers' Committee for Civil Rights Under Law of the Boston Bar Association, Inc.","30,000",2018,1 year,Not Specified,Antidiscrimination,Ethnic and racial groups,General support,Cash grants,Unrestricted
"Kelly Family Foundation, Inc.",Mass Mentoring Partnership,"30,000",2018,1 year,Not Specified,Youth mentoring,Children and youth; Family relationships; Ethnic and racial groups; Social and economic status,Not Specified,Cash grants,Charitable contribution unrestricted
Lloyd G. Balfour Foundation,THE SALVATION ARMY,"30,000",2018,1 month,Not Specified,Human services,Low-income people,General support,Cash grants,general operations of the organization
Lloyd G. Balfour Foundation,College Bound Dorchester,"30,000",2018,1 month,Education\Adult Education,Basic and remedial instruction,Children and youth; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Boston Uncornered Initiative
"Mass General Brigham, Inc.",Alternatives for Community and Environment,"30,000",2018,1 year,Not Specified,Environmental justice,Children and youth,Equal access,Cash grants,Community benefit program
Massachusetts Legal Assistance Corporation,Chelsea Collaborative Inc,"30,000",2018,1 year,Not Specified,Legal services,Ethnic and racial groups; Immigrants and migrants; Low-income people,Advocacy,Cash grants,TO PROVIDE FINANCIAL SUPPORT FOR LEGAL ASSISTANCE PROGRAMS
Massachusetts Legal Assistance Corporation,Centro Presente Inc,"30,000",2018,1 year,Not Specified,Legal services,Economically disadvantaged people,Program support,Cash grants,TO PROVIDE FINANCIAL SUPPORT FOR LEGAL ASSISTANCE PROGRAMS
Mcnay Family Foundation,Roxbury Latin School,"30,000",2018,1 year,Not Specified,Equal opportunity in education,Children and youth; People of Latin American descent,Program support,Cash grants,Education
Mimi and Peter Haas Fund,"Martha's Vineyard Hospital, Inc.","30,000",2018,1 year,Not Specified,Hospital care,Age Groups; Ethnic and racial groups; Social and economic status; Health,Not Specified,Cash grants,General Operating Support 2018
National Endowment for the Arts,American Repertory Theatre,"30,000",2018,1 year,Not Specified,Theater,People of African descent,Presentations and productions,Cash grants,TO SUPPORT THE WORLD PREMIERE OF THE BLACK CLOWN A VAUDEVILLE ORATORIO BY MICHAEL SCHACHTER AND DAV“NE TINES.
Nbt II Foundation,Future Chefs,"30,000",2018,1 year,Not Specified,Job counseling,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,SUPPORT SCHOOL TO CAREER
Nbt II Foundation,"Youthbuild Boston, Inc.","30,000",2018,1 year,Not Specified,Student retention,Adolescents; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,BUILDING TRADES EXPLORATION
Newsboys Reading Room Association,"United South End Settlements, Camp Hale","30,000",2018,1 year,Not Specified,Human services,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,BOYS WORK AMONG UNDERPRIVILEGED YOUTH
Noubar & Anna Afeyan Foundation,Beacon Academy Inc,"30,000",2018,1 year,Not Specified,Education services,Children and youth; Ethnic and racial groups; Economically disadvantaged people; Low-income people; Students,Program support,Cash grants,Contribution
Perpetual Trust for Charitable Giving,InnerCity Weightlifting,"30,000",2018,2 months,Not Specified,Youth organizing,Economically disadvantaged people,General support,Cash grants,general operations of the organization
"Rowland Foundation, Inc.",The Center for Teen Empowerment,"30,000",2018,1 year,Not Specified,Public health,Adolescent girls,Program support,Cash grants,CHARITABLE
Ruth & Ted Bauer Family Foundation,Roxbury Latin School,"30,000",2018,1 year,Not Specified,Educational management,Children and youth; People of Latin American descent,Leadership and professional development,Cash grants,Professional Development
Samuel C. Endicott Fund,Indian Hill Music Center,"30,000",2018,1 year,Not Specified,Music,American Indians,General support,Cash grants,GENERAL PURPOSE
Sirad Foundation Inc.,Massachusetts Community Action Network,"30,000",2018,1 year,Not Specified,Community organizing,Ethnic and racial groups; Low-income people,"Policy, advocacy and systems reform",Cash grants,Faith-based comm orgs for econ racial justice
Stanley W. Watson Foundation,Church of the Messiah,"30,000",2018,1 year,Not Specified,Christianity,Ethnic and racial groups; Religious groups,General support,Cash grants,Unrestricted
"State Street Foundation, Inc.","MA Coalition for Occupational Safety & Health, Inc.","30,000",2018,1 year,Employment Programs - Youth Job Readiness and Employment,Labor rights,Adolescents,Information and Referral,Cash grants,Teens Lead @ Work
The Andreas Foundation,The Center for Teen Empowerment,"30,000",2018,1 year,Not Specified,Youth organizing,Children and youth; Adolescents; Ethnic and racial groups; Low-income people; At-risk youth,Capacity-building and technical assistance; Management and leadership development,Cash grants,GRANT IS FOR RECIPIENTS FOR EXECUTIVE SEARCH FUND
"The Berkshire Taconic Community Foundation, Inc.",Berkshire Natural Resources Council,"30,000",2018,1 year,Environmental,Environmental education,Indigenous peoples; Economically disadvantaged people; Farmers,General support,Cash grants,For general support
The Beveridge Family Foundation,Five Colleges Incorporated,"30,000",2018,1 month,Not Specified,Education,People of African descent; People of Latin American descent; Students,Program support,Cash grants,Paradigm Shift: Pathways to Teaching for Black and Latino Para-educators
The Beveridge Family Foundation,Robert F. Kennedy Children's Action Corps,"30,000",2018,1 month,Not Specified,Youth development,Children and youth; Adolescents; Ethnic and racial groups; Low-income people; At-risk youth; People with disabilities,Building and renovations; Program support,Cash grants,RFK Academy Initiative
The Boston Foundation,The Center for Teen Empowerment,"30,000",2018,1 year,Youth Development,Youth organizing,Adolescent girls,General support,Cash grants,For general/unrestricted support
The Boston Foundation,"Community Servings, Inc.","30,000",2018,1 year,"Food, Agriculture & Nutrition",Sustainable agriculture,Adults,General support,Cash grants,For general/unrestricted support
The Boston Foundation,Boston Debate League,"30,000",2018,1 year,Education,Civics for youth,Preteens; Adolescents; Ethnic and racial groups; Students,General support,Cash grants,For general operating support
The Boston Foundation,"The Neighborhood Developers, Inc.","30,000",2018,1 year,Housing & Shelter,Shelter and residential care,Ethnic and racial groups; Immigrants; Low-income people,Not Specified,Cash grants,To provide support for the Neighborhood Developers in partnership with Nuestra Comunidad for a new CDC Operating Model to Create Opportunity Communities
The Boston Foundation,Martha's Vineyard Museum Inc,"30,000",2018,1 year,"Arts, Culture & Humanities",Humanities,Children and youth; Adults; Family relationships; Ethnic and racial groups; Social and economic status,General support,Cash grants,For general/unrestricted support
The Boston Foundation,InnerCity Weightlifting,"30,000",2018,1 year,Youth Development,Crime prevention,Adolescents; Economically disadvantaged people; At-risk youth,General support,Cash grants,For general operating support
The Boston Foundation,"Massachusetts Center for Native American Awareness, Inc.","30,000",2018,1 year,"Arts, Culture & Humanities",Humanities,American Indians,General support,Cash grants,For general Operating Support
The Boston Foundation,Community Labor United,"30,000",2018,1 year,"Civil Rights, Social Action & Advocacy",Labor rights,Ethnic and racial groups; Low-income people,General support,Cash grants,For general/unrestricted support
The Boston Foundation,Southern Jamaica Plain Health,"30,000",2018,1 year,Health Care,Human rights,Ethnic and racial groups,Program support,Cash grants,To provide support for the Racial Reconciliation and Healing project
The Boston Foundation,The Center for Teen Empowerment,"30,000",2018,1 year,Youth Development,Youth organizing,Adolescent girls,Not Specified,Cash grants,For general operating support for the Massachusetts programming
The Boston Foundation,Chelsea Collaborative Inc,"30,000",2018,1 year,"Civil Rights, Social Action & Advocacy",Antidiscrimination,Ethnic and racial groups; Immigrants and migrants; Low-income people,General support,Cash grants,For general operating support
The Boston Foundation,Future Chefs,"30,000",2018,1 year,Youth Development,Youth development,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,For general/unrestricted support
