Grant Funder Name,Grant Recipient Name,Grant Total Amount,Grant Fiscal Year,Grant Duration,Grant Program Area,Grant Primary Subject,Grant Population Served,Grant Support Strategy,Grant Transaction Type,Grant Description
Managers of Boston Port And,New England Seafarers Mission Inc.,"17,500",2015,1 year,Not Specified,Human services,Adults; Multiracial people,General support,Cash grants,General
National Foundation for the Centers for Disease Control and Prevention,Boston University,"17,450",2015,1 year,Not Specified,Kidney diseases,Academics,Research and evaluation,Cash grants,Chronic Kidney Disease in Central American Workers
GlobalGiving,Year Up,"17,403",2015,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Fundraising,Cash grants,FUNDS RAISED BY GLOBALGIVING AND DISBURSED TO MEET DONOR EXPECTATIONS
Massachusetts League of Community Health Centers Inc,Family Health Center Of Worcester Inc,"17,300",2015,1 year,Not Specified,Health care clinics,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Various
Tides Foundation,Boston Branch NAACP,"17,250",2015,1 year,Not Specified,Antidiscrimination,Ethnic and racial groups; People of African descent; Low-income people,"Policy, advocacy and systems reform; Advocacy; Systems reform; Litigation; Grassroots organizing; Equal access",Cash grants,Boston 500 and Diversity Now Campaign
Marigold Charitable Trust,Children's Hospital Corporation,"17,042",2015,1 year,Not Specified,Mental health care,People of African descent; Refugees and displaced people; Students,Program support,Cash grants,Award initiative for refugee trauma and mental health project/somali elementary school
"Baltimore Community Foundation, Inc.","The B.E.L.L. Foundation, Inc.","17,000",2015,1 year,Not Specified,Education,Children; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General support and various projects
"Baltimore Community Foundation, Inc.","The B.E.L.L. Foundation, Inc.","17,000",2015,1 year,Not Specified,Historical activities,Children; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,GENERAL SUPPORT AND VARIOUS PROJECTS
"Ben & Jerry's Foundation, Inc.",Press Pass TV,"17,000",2015,1 year,Economic Justice,Human rights,Low-income people,Program support,Cash grants,"We are seeking funding for the Community Connect training portion of our Media Leadership Institute. During this program, youth gain skills in media production and campaign messaging by providing pro-bono messaging support to racial, social and economic justice groups. Youth gain important analysis about issues impacting their community, directly contribute to the success of movements for change, and grow their skills to gain employment and interrupt the cycle of poverty and violence."
"The Mulberry Foundation, Inc.",Emmanuel Gospel Center,"17,000",2015,1 year,Not Specified,Human services,Ethnic and racial groups; Immigrants; Low-income people,General support,Cash grants,General
National Foundation for the Centers for Disease Control and Prevention,Boston University,"16,871",2015,1 year,Not Specified,Kidney diseases,Academics,Research and evaluation,Cash grants,Chronic Kidney Disease in Central American Workers
"Greater Lowell Community Foundation, Inc.",UTEC,"16,700",2015,1 year,Not Specified,Human rights,Adolescents; Young adults; Ethnic and racial groups; Immigrants and migrants; Low-income people,General support,Cash grants,Donor advised distribution / general operation
Swartz Foundation Trust,Permanent Endowment for Marthas Vineyard Inc,"16,667",2015,1 year,Not Specified,Foundations,Age Groups; Family relationships; Ethnic and racial groups; Social and economic status; Health; Work status and occupations,Financial sustainability,Cash grants,Charitable contribution
Mental Insight Foundation,City Life/Vida Urbana,"16,507",2015,1 year,Not Specified,Community organizing,People of Latin American descent; Low-income people,Advocacy,Cash grants,Charitable
Charlesview Inc,St Mary's Women and Children Center,"16,500",2015,1 year,Not Specified,Homeless shelters,Children and youth; Women and girls; Ethnic and racial groups; Homeless people; Low-income people,Program support,Cash grants,FAMILY HOUSING
The Boston Foundation,Boston Childrens Chorus,"16,500",2015,1 year,"Arts, Culture & Humanities",Vocal music,Children; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,For general operating support or unrestricted support
The Plymouth Rock Assurance Foundation,Steppingstone Foundation,"16,200",2015,1 year,Not Specified,College preparation,At-risk youth,Not Specified,Cash grants,Cash donation
Stephen C. Luce Charitable Foundation,"Martha's Vineyard Hospital, Inc.","16,140",2015,1 year,Not Specified,Hospital care,Age Groups; Ethnic and racial groups; Social and economic status; Health,General support,Cash grants,Unrestricted general support
Stephen C. Luce Charitable Foundation,"Martha's Vineyard Hospital, Inc.","16,140",2015,1 year,Not Specified,Hospital care,Age Groups; Ethnic and racial groups; Social and economic status; Health,General support,Cash grants,Unrestricted general support
Stephen C. Luce Charitable Foundation,"Martha's Vineyard Hospital, Inc.","16,140",2015,1 year,Not Specified,Hospital care,Age Groups; Ethnic and racial groups; Social and economic status; Health,General support,Cash grants,Unrestricted general support
Stephen C. Luce Charitable Foundation,"Martha's Vineyard Hospital, Inc.","16,140",2015,1 year,Not Specified,Hospital care,Age Groups; Ethnic and racial groups; Social and economic status; Health,General support,Cash grants,Unrestricted general support
The Fish Family Foundation,Agencia Alcanzando Logros Para Hispanos Ahora,"16,120",2015,1 year,Not Specified,Immigrant services,People of Latin American descent; Immigrants and migrants,Program support,Cash grants,Human services
Garden Neighborhood Charities,Action for Boston Community Development,"16,109",2015,1 year,Not Specified,Human services,Children and youth,Program support,Cash grants,Program services
Amelia Peabody Foundation,Nativity Boston,"16,000",2015,1 year,Not Specified,Middle school education,Preteen boys; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,"Laptops, a laptop cart, and software"
Cambridge Community Foundation,Massachusetts Alliance of Portuguese Speakers (MAPS),"16,000",2015,1 year,Not Specified,Immigrant services,Economically disadvantaged people,Program support,Cash grants,Program assistance/general operating
"Combined Jewish Philanthropies of Greater Boston, Inc.","United for a Fair Economy, Inc., Responsible Wealth","16,000",2015,1 year,Not Specified,Public finance,Adults; Ethnic and racial groups; Immigrants and migrants; Economically disadvantaged people; Low-income people,Advocacy,Cash grants,Donor Advised FD Civil Rights
Fidelity Investments Charitable Gift Fund,Jewish Vocational Service,"16,000",2015,1 year,Not Specified,Job creation and workforce development,Ethnic and racial groups; Immigrants and migrants; Low-income people; Students,Not Specified,Cash grants,Not Specified
Fidelity Investments Charitable Gift Fund,Marshfield United Methodist Church,"16,000",2015,1 year,Not Specified,Social rights,Ethnic and racial groups,Public engagement and education; Publications,Cash grants,Not Specified
IMPACT FUND,Alternatives for Community and Environment,"16,000",2015,1 year,Not Specified,Environmental justice,Ethnic and racial groups; Low-income people,Equal access,Cash grants,Not Specified
Stephanie H. & David A. Spina Family Foundation,Nativity School of Worcester,"16,000",2015,1 year,Not Specified,Middle school education,Preteen boys; Ethnic and racial groups; Catholics; Low-income people; Students,Not Specified,Cash grants,Educational
The East Boston Foundation,Martin Pino Community Center,"16,000",2015,1 year,Not Specified,Sports and recreation,Ethnic and racial groups,Program support,Cash grants,COMMUNITY GROUP (CITY OWNED)
The Nordblom Family Foundation,Bethal Institute For Social Justice,"16,000",2015,1 year,Not Specified,Community and economic development,People of African descent; Low-income people,Program support,Cash grants,Charitable
Vanguard Charitable Endowment Program,Brooke Schools Foundation,"16,000",2015,1 year,Education,Education,Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,For General operating expenses
United Way of Massachusetts Bay and Merrimack Valley,"The Neighborhood Developers, Inc.","15,679",2015,1 year,Not Specified,Housing development,Ethnic and racial groups; Immigrants; Low-income people,Program support,Cash grants,Community Impact
National Foundation for the Centers for Disease Control and Prevention,Boston University,"15,669",2015,1 year,Not Specified,Kidney diseases,Academics,Research and evaluation,Cash grants,Chronic Kidney Disease in Central American Workers
National Foundation for the Centers for Disease Control and Prevention,Boston University,"15,658",2015,1 year,Not Specified,Kidney diseases,Academics,Research and evaluation,Cash grants,Chronic Kidney Disease in Central American Workers
F. A. O. Schwarz Family Foundation,Jumpstart for Young Children,"15,500",2015,1 year,Not Specified,Early childhood education,Children and youth; Children; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Unrestricted general support
"Philanthropy Massachusetts, Inc.",College Bound Dorchester,"15,500",2015,1 year,Not Specified,Human services,Children and youth; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,For operating and program support.
The James Family Charitable Foundation,Harvard Foundation,"15,500",2015,1 year,Not Specified,Diversity and intergroup relations,Ethnic and racial groups; Academics; Students,General support,Cash grants,For general support
Vanguard Charitable Endowment Program,Mother Caroline Academy &Education Center,"15,500",2015,1 year,Education,Education,Young girls; Preteen girls; Ethnic and racial groups; Catholics; Low-income people; Students,Scholarships,Cash grants,For Scholarship
The Lenny Zakim Fund,The Institute for Pan African Cultural Education Inc,"15,350",2015,1 year,Not Specified,Cultural awareness,People of African descent,General support,Cash grants,General operations
The Fish Family Foundation,Action for Boston Community Development,"15,270",2015,1 year,Not Specified,Benefits planning,Children and youth; Adults; Families; Ethnic and racial groups; Immigrants and migrants; Economically disadvantaged people; Low-income people,Not Specified,Cash grants,Public/ social benefit
"Combined Jewish Philanthropies of Greater Boston, Inc.",SquashBusters Inc.,"15,250",2015,1 year,Not Specified,Antidiscrimination,Children and youth; Ethnic and racial groups; Low-income people,Program support,Cash grants,Donor Advised FD Sports
Schwab Charitable,"Theater Offensive, Inc.","15,250",2015,1 year,Not Specified,Theater,LGBTQ people; Ethnic and racial groups,Not Specified,Cash grants,"ARTS, CULTURE & HUMANITIES"
Adelaide Breed Bayrd Foundation,Salem State University,"15,100",2015,1 year,Not Specified,University education,People of African descent,Scholarships,Cash grants,Provide educational scholarship for deserving studen
The Annie E. Casey Foundation,Interaction Institute for Social Change,"15,040",2015,0.17 months,Not Specified,Community development finance,Children and youth; Low-income people,Network-building and collaboration; Program support,Cash grants,To support co-design and delivery of the Community Development Financial Institution Leadership Learning Network (CDFI LLN) Seminar 1
THE RED SOX FOUNDATION INC,Action for Boston Community Development,"15,013",2015,1 year,Not Specified,Economic development,Children and youth; Adults; Families; Ethnic and racial groups; Immigrants and migrants; Economically disadvantaged people; Low-income people,Program support,Cash grants,SCHED I SUPPLEMENTAL INFORMATION
"Bank of America Charitable Foundation, Inc.",Posse Foundation Boston,"15,000",2015,1 year,Not Specified,Education,Adolescents; Ethnic and racial groups; Low-income people; Academics,General support; Program support,Cash grants,Program/operating support
"Ben & Jerry's Foundation, Inc.",Pioneer Valley Workers Center,"15,000",2015,1 year,Workers Rights,Economic development,Ethnic and racial groups; Immigrants; Low-income people; Working poor; Farmers,Program support,Cash grants,"Pioneer Valley Workers Center (PVWC) is requesting general support for our food system organizing work. These farm-to-table efforts aim to develop worker leaders, to organize those most impacted to take collective action to raise labor standards throughout the local food system, and to make sure that regional and statewide sustainable food system initiatives include a commitment to creating sustainable jobs and protecting labor rights. Ben & Jerry's funding will enhance the ability of workers to play a leading role in developing a food system that is equitable and benefits the whole community."
Boston Bar Foundation,City Life/Vida Urbana,"15,000",2015,1 year,Not Specified,Public safety,People of Latin American descent; Low-income people,Advocacy,Cash grants,Support legal aid
Boston Bar Foundation,Rian Immigrant Center,"15,000",2015,1 year,Not Specified,Legal aid,Ethnic and racial groups; Immigrants; Low-income people,Not Specified,Cash grants,Support legal aid
Deborah Munroe Noonan Memorial Fund,Boston Ten Point Coalition,"15,000",2015,1 month,Not Specified,Crime prevention,Children and youth; People of African descent; People of Latin American descent; Low-income people,General support,Cash grants,General Operations of the Organization
Deborah Munroe Noonan Memorial Fund,Young Peoples Project,"15,000",2015,1 month,Not Specified,Youth development,Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General operations of the organization
Deborah Munroe Noonan Memorial Fund,BalletRox Inc.,"15,000",2015,1 month,Not Specified,Children's rights,Non-adult children,General support,Cash grants,General Operations of Balletrox
Fidelity Investments Charitable Gift Fund,United South End Settlements,"15,000",2015,1 year,Not Specified,Human services,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Not Specified
Fidelity Investments Charitable Gift Fund,Bottom Line,"15,000",2015,1 year,Not Specified,College preparation,Children and youth; Adolescents; Ethnic and racial groups; Economically disadvantaged people; Students,Not Specified,Cash grants,Not Specified
Fidelity Investments Charitable Gift Fund,Bottom Line,"15,000",2015,1 year,Not Specified,College preparation,Children and youth; Adolescents; Ethnic and racial groups; Economically disadvantaged people; Students,Not Specified,Cash grants,Not Specified
Greater Milwaukee Foundation,President and Fellows of Harvard College,"15,000",2015,1 year,Education,Teacher education,People of African descent,Research,Cash grants,Support of the Hutchins Center for African and African American Research
"Hunt Street Fund, Inc.",Mother Caroline Academy &Education Center,"15,000",2015,1 year,Not Specified,Arts and culture,Young girls; Preteen girls; Ethnic and racial groups; Catholics; Low-income people; Students,General support,Cash grants,Charitable contribution unrestricted
The Children's Hospital Corporation,Action for Boston Community Development,"15,000",2015,1 year,Not Specified,Human services,Children and youth; Adults; Families; Ethnic and racial groups; Immigrants and migrants; Economically disadvantaged people; Low-income people,Program support,Cash grants,Community Partnership
The Llewellyn Foundation,Lets Get Ready,"15,000",2015,1 year,Not Specified,Out-of-school learning,Adolescents; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Program service
Van Otterloo Family Foundation,"Epiphany School, Inc.","15,000",2015,1 year,Not Specified,Middle school education,Preteens; Ethnic and racial groups; Protestants; Low-income people; Students,Not Specified,Cash grants,Educational
Adelaide Breed Bayrd Foundation,"The Immigrant Learning Center, Inc.","15,000",2015,1 year,Not Specified,ESL and second language acquisition,Ethnic and racial groups; Immigrants; Refugees and displaced people; Low-income people; Students,Program support,Cash grants,Provide funds to support the entity's charitable wor
Adelard A. & Valeda Lea Roy Foundation,"Epiphany School, Inc.","15,000",2015,1 year,Not Specified,Middle school education,Preteens; Ethnic and racial groups; Protestants; Low-income people; Students,Not Specified,Cash grants,Not Specified
Albert W. Rice Charitable Foundation,African Community Education Program,"15,000",2015,1 month,Not Specified,Equal opportunity in education,Children and youth; People of African descent; Immigrants; Refugees and displaced people; Students,General support,Cash grants,General operations of the organization.
Albert W. Rice Charitable Foundation,Southeast Asian Coalition of Central Massachusetts,"15,000",2015,1 month,Human Services,Immigrant services,People of Southeast Asian descent; Immigrants and migrants,General support,Cash grants,General operation of the organization
Albert W. Rice Charitable Foundation,Worcester Youth Center,"15,000",2015,1 month,Youth Development\Youth Development Programs,Youth organizing,Adolescent girls,General support,Cash grants,General operations of the organization
Alfred E. Chase Charity Foundation,Asian Task Force Against Domestic Violence (atask),"15,000",2015,1 year,Not Specified,Domestic violence shelters,Single parents,Not Specified,Cash grants,General operations of the organization (Asian Shelter and Advocacy Program [aSAP])
Amelia Peabody Foundation,African Community Education Program,"15,000",2015,1 year,Not Specified,Reading promotion,Economically disadvantaged people,Program support,Cash grants,Summer Reading and Workforce Development Program
"Anna B. Stearns Charitable Foundation, Inc.",Asian Task Force Against Domestic Violence (atask),"15,000",2015,1 year,Social Services,Domestic violence shelters,Women and girls; People of Asian descent; Immigrants; Refugees and displaced people; Low-income people; Victims of crime and abuse,Program support,Cash grants,Not Specified
"Anna B. Stearns Charitable Foundation, Inc.",South Boston en Accion,"15,000",2015,1 year,Social Services,Immigrant services,People of Latin American descent; Immigrants,Not Specified,Cash grants,Not Specified
"Anna B. Stearns Charitable Foundation, Inc.",Girls LEAP Self-Defense,"15,000",2015,1 year,Social Services,Youth organizing,Girls; Ethnic and racial groups; Low-income people,Program support,Cash grants,Not Specified
"Anna B. Stearns Charitable Foundation, Inc.","Hyde Square Task Force, Inc.","15,000",2015,1 year,Social Services,Community improvement,Children and youth; Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Not Specified
"Bank of America Charitable Foundation, Inc.",Year Up,"15,000",2015,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support; Program support,Cash grants,Program/operating support
Barr Foundation,Nurtury,"15,000",2015,0.25 months,Not Specified,Child care,Infants and toddlers; Children; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,"To complete the planning and feasibility study for a Boston Early Childhood Data Center, in partnership with Thrive in Five."
"Better Way Foundation, Inc.",Literacy Connection,"15,000",2015,1 year,Not Specified,Reading promotion,Ethnic and racial groups; Immigrants; Refugees and displaced people; Low-income people; Students,General support,Cash grants,General Operations
Cabot Family Charitable Trust,Project Step,"15,000",2015,1 year,Not Specified,Performing arts education,Children and youth; Non-adult children; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Not Specified
"Charles E & C J Adams Trust, aka Frank W. and Carl S. Adams Memorial Fund",Boston Scores,"15,000",2015,1 month,Not Specified,Reading promotion,Children and youth; Ethnic and racial groups; Low-income people; At-risk youth; Students,General support,Cash grants,General operations of the organization
"Charles E & C J Adams Trust, aka Frank W. and Carl S. Adams Memorial Fund",Southeast Asian Coalition of Central Massachusetts,"15,000",2015,1 month,Human Services,Immigrant services,People of Southeast Asian descent; Immigrants and migrants,General support,Cash grants,General operations of the organization
Charles H. Farnsworth Trust,Neighborhood Of Affordable Housing (NOAH),"15,000",2015,1 year,Housing & Shelter\Housing Support\Home Improvement & Repairs,Home repairs,Seniors,Program support,Cash grants,NOAH Senior Homeowner Services
"Clipper Ship Foundation, Inc.","Artists for Humanity, Inc.","15,000",2015,1 year,Not Specified,Arts services,Adolescents; Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Epicenter Expansion
"Clowes Fund, Inc.",Youth and Family Enrichment Services,"15,000",2015,1 month,"Immigrants, Refugees, & Asylees",Family services,Children and youth; People of African descent; Immigrants and migrants; Low-income people,Program support,Cash grants,For Youth Builders After-School and Summer Program
"Currents of Change, Inc.","MA Coalition for Occupational Safety & Health, Inc.","15,000",2015,1 year,Not Specified,Organized labor,Adolescents,Program support,Cash grants,Support for teens lead @ work program
Dean Welfare Trust,"Tenacity, Inc.","15,000",2015,1 year,Not Specified,Law education,Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General operating purposes
Deborah M. Noonan Memorial Fund,Boston Childrens Chorus,"15,000",2015,1 month,"Arts, Culture & Humanities\Arts & Culture\Arts Education",Arts education,Children; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Choir Program Operating support
Deborah M. Noonan Memorial Fund,BOSTON TEN POINT COALITION INC,"15,000",2015,1 month,Not Specified,Substance abuse treatment,Children and youth; People of African descent; People of Latin American descent; Low-income people,General support,Cash grants,General Operations of the Organization
Deborah M. Noonan Memorial Fund,The City School,"15,000",2015,1 month,Youth Development,Elementary and secondary education,Students,General support,Cash grants,General operations of the organization
Deborah Munroe Noonan Memorial Fund,Boston Childrens Chorus,"15,000",2015,1 month,"Arts, Culture & Humanities\Arts & Culture\Arts Education",Arts education,Children; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Choir Program Operating support
Deborah Munroe Noonan Memorial Fund,InnerCity Weightlifting,"15,000",2015,1 month,Not Specified,Community and economic development,Low-income people; At-risk youth,General support,Cash grants,General Operations of the Organization
Deborah Munroe Noonan Memorial Fund,MetroLacrosse,"15,000",2015,1 month,Not Specified,Sports,Children and youth; Low-income people; At-risk youth,Not Specified,Cash grants,Metrolacrosse Pursuit of Excellence
Doran Family Charitable Trust,Addison Gallery of American Art,"15,000",2015,1 year,Not Specified,Art museums,Children and youth; People of African descent,General support,Cash grants,Unrestricted grant
Fidelity Investments Charitable Gift Fund,Alma Del Mar Foundation Inc,"15,000",2015,1 year,Not Specified,Elementary and secondary education,Children and youth; Ethnic and racial groups; Students,"Policy, advocacy and systems reform; Curriculum development",Cash grants,Not Specified
Fidelity Investments Charitable Gift Fund,"Epiphany School, Inc.","15,000",2015,1 year,Not Specified,Middle school education,Preteens; Ethnic and racial groups; Protestants; Low-income people; Students,Not Specified,Cash grants,Not Specified
Fidelity Investments Charitable Gift Fund,"Epiphany School, Inc.","15,000",2015,1 year,Not Specified,Middle school education,Preteens; Ethnic and racial groups; Protestants; Low-income people; Students,Not Specified,Cash grants,Not Specified
Fidelity Investments Charitable Gift Fund,Steppingstone Foundation,"15,000",2015,1 year,Not Specified,College preparation,Children and youth; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Not Specified
Fidelity Investments Charitable Gift Fund,"Wide Horizons for Children, Inc.","15,000",2015,1 year,Not Specified,Adoption,Infants and toddlers; Children; Ethnic and racial groups; Students,Not Specified,Cash grants,Not Specified
Fidelity Investments Charitable Gift Fund,Total Institute for Development Andeast Asian Stra,"15,000",2015,1 year,Not Specified,Not Specified,Not Specified,Not Specified,Cash grants,Not Specified
Fidelity Investments Charitable Gift Fund,Initiative for A Competitive Inner City Inc,"15,000",2015,1 year,Not Specified,Urban development,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Not Specified
Fidelity Investments Charitable Gift Fund,Steppingstone Foundation,"15,000",2015,1 year,Not Specified,College preparation,Children and youth; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Not Specified
Fidelity Investments Charitable Gift Fund,Fenway Sidney Borum Community Health Center,"15,000",2015,1 year,Not Specified,Health care clinics,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Not Specified
Fidelity Investments Charitable Gift Fund,Adopt-A-Student,"15,000",2015,1 year,Not Specified,Education,Children and youth; Ethnic and racial groups; Low-income people; At-risk youth; Students,Individual development,Cash grants,Not Specified
Forest Foundation,Year Up,"15,000",2015,1 year,Not Specified,Human services,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Product and service delivery,Cash grants,"For charities to provice service to at-risk families for their physical and mental well-being. Also, to provide for socially responsible institutions of higher learning"
Frank Reed & Margaret Jane Peters Memorial Fund II,African Community Education Program,"15,000",2015,1 year,Not Specified,Equal opportunity in education,Children and youth; People of African descent; Immigrants; Refugees and displaced people; Students,General support,Cash grants,General operations of the organization.
Frank Reed & Margaret Jane Peters Memorial Fund II,"Tenacity, Inc.","15,000",2015,1 year,Not Specified,Substance abuse treatment,Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General operations of the organization
Frank Reed & Margaret Jane Peters Memorial Funds,Sportsmen's Tennis & Enrichment Center,"15,000",2015,1 month,Not Specified,Substance abuse treatment,Children and youth; Ethnic and racial groups; Low-income people,General support,Cash grants,General operations of the organization
Frank Reed & Margaret Jane Peters Memorial Funds,Jumpstart for Young Children,"15,000",2015,1 month,Education\Elementary & Secondary Schools\Preschools,Early childhood education,Children and youth; Children; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Jumpstart Boston
Gardiner Howland Shaw Foundation,UTEC,"15,000",2015,1 year,Not Specified,Crime prevention,Adolescent girls,Not Specified,Cash grants,Support for the agency's street worker gang intervention project
George H. & Jane A. Mifflin Memorial Fund,Girls LEAP Self-Defense,"15,000",2015,1 year,Not Specified,Public safety,Girls; Low-income people,Program support,Cash grants,For girls leap self-defense
George H. & Jane A. Mifflin Memorial Fund,Salem Academy Charter School Foundation (Salem Foundation for Service Education Inc.),"15,000",2015,1 year,Not Specified,Charter school education,Children and youth; Adolescents; Adults; Ethnic and racial groups; Students,Not Specified,Cash grants,For intervention specialist
George H. & Jane A. Mifflin Memorial Fund,Boston Preparatory Charter Public School,"15,000",2015,1 year,Not Specified,Charter school education,Children and youth,Program support,Cash grants,The persistence project
Greater Washington Community Foundation,United South End Settlements,"15,000",2015,1 month,Education and Youth Development / HUM - Youth Development,Human services,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Not Specified
Highland Street Foundation,Trustees of Phillips Academy,"15,000",2015,1 year,Not Specified,School athletics,People of African descent,Program support,Cash grants,For educational programming
"Island Foundation, Inc.",NorthStar Learning Centers,"15,000",2015,1 month,New Bedford / Youth / Educational Opportunity for Underserved Populations,Education services,Students,Program support,Cash grants,Youth Services Enrichment and Clinical Supports
John & Edith Sacco Charitable Foundation,Mass Mentoring Partnership,"15,000",2015,1 year,Not Specified,Youth mentoring,Students,General support,Cash grants,Unrestricted general support
"Josephine and Louise Crane Foundation, Inc.",Massachusetts Community Action Network,"15,000",2015,1 year,Not Specified,Community organizing,Low-income people,General support,Cash grants,Unrestricted
Joyful Blessings Foundation,African Community Education Program,"15,000",2015,1 year,Not Specified,Education services,Economically disadvantaged people,General support,Cash grants,General support of saturday program
Lawson Valentine Foundation,NUESTRAS RAICES INC,"15,000",2015,1 year,Not Specified,Public affairs,People of Latin American descent,General support,Cash grants,General purpose
Legacy Alcoa Foundation,Bottom Line,"15,000",2015,1 year,Not Specified,Student retention,Ethnic and racial groups; Low-income people; Academics; Students,Program support,Cash grants,2015 Spring Reception
"Lincoln and Therese Filene Foundation, Inc.",Chelsea Collaborative Inc,"15,000",2015,1 year,Not Specified,Employment,Adolescents,Program support,Cash grants,Summer youth employment initiative
Morgens West Foundation,Year Up,"15,000",2015,1 year,Not Specified,Graduate and professional education,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Contribution to general fund
Moses Kimball Fund,"Breakthrough Greater Boston, Inc.","15,000",2015,1 year,Not Specified,Higher education,Children and youth; Preteens; Adolescents; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,College program support
Nathaniel & Elizabeth P. Stevens Foundation,Lgtino STEM Allarnoe,"15,000",2015,1 year,Not Specified,Mathematics,People of Latin American descent,Capacity-building and technical assistance,Cash grants,Executive director position
New Balance Foundation,The Food Project,"15,000",2015,1 year,Not Specified,Food aid,Adolescents; Ethnic and racial groups; Low-income people,General support,Cash grants,General support
Perpetual Trust for Charitable Giving,United South End Settlements,"15,000",2015,1 month,Not Specified,Community and economic development,Ethnic and racial groups; Low-income people,General support,Cash grants,General Operations of the Organization
"Sailors' Snug Harbor of Boston, Inc.",Immigrants' Assistance Center,"15,000",2015,1 year,Social Services,Immigrant services,People of African descent; Low-income people,Program support,Cash grants,Not Specified
Schwab Charitable,Robert F. Kennedy Children's Action Corps,"15,000",2015,1 year,Not Specified,Health,Children and youth; Adolescents; Ethnic and racial groups; Low-income people; At-risk youth; People with disabilities,Program support,Cash grants,HEALTH & HUMAN SERVICES
TD Charitable Foundation,"Roca, Inc.","15,000",2015,1 year,Human Services,Human services,Young men; People of African descent,Program support,Cash grants,"For Hampden County Intervention. Engage 280 high-risk young men ages 17-24 from Hampden County in our nationally acclaimed Intervention Model, which provides up to two years of intensive programming with additional two years of follow up services for retention and sustainability"
The Beveridge Family Foundation,"United Way of Pioneer Valley, Inc.","15,000",2015,1 month,"Civil Rights, Social Action, Advocacy",Antidiscrimination,Not Specified,Regranting,Cash grants,Healing Racism Institute of Pioneer Valley
The Boston Foundation,Posse Foundation Boston,"15,000",2015,1 year,Education,Education,Adolescents; Ethnic and racial groups; Low-income people; Academics,General support,Cash grants,For general operating support or unrestricted support
The Boston Foundation,Massachusetts Community Action Network,"15,000",2015,1 year,Community Improvement & Capacity Buildin,Employment,Children and youth,Program support,Cash grants,To support the work of the Youth Jobs Coalition
The Boston Foundation,Bellwether Education Partners,"15,000",2015,1 year,Education,Elementary and secondary education,Children and youth; Students,Program support,Cash grants,To support planning for a Boston Schools Fund
The Boston Foundation,Chelsea Collaborative Inc,"15,000",2015,1 year,Human Services,Human services,Ethnic and racial groups; Immigrants and migrants; Low-income people,General support,Cash grants,For general operating support or unrestricted support
The Boston Foundation,The Food Project,"15,000",2015,1 year,Health Care,Education,Adolescents; Ethnic and racial groups; Low-income people,Program support,Cash grants,"For the Summer Seed Crew, as selected by the Teacher Advisory Board"
The Day Charitable Trust,UTEC,"15,000",2015,1 year,Not Specified,Youth development,Adolescent girls,General support,Cash grants,General support
The Flatley Foundation,St Mary's Women and Children Center,"15,000",2015,1 year,Not Specified,Family services,Children and youth; Women and girls; Ethnic and racial groups; Homeless people; Low-income people,General support,Cash grants,Unrestricted
The Genevieve McMillan-Reba Stewart Foundation,The City School,"15,000",2015,1 year,Not Specified,Elementary and secondary education,Students,Equal access,Cash grants,Charitable
The Grable Foundation,Jumpstart for Young Children,"15,000",2015,1 year,Not Specified,Reading promotion,Infants and toddlers,Program support,Cash grants,To support early childhood literacy programming
"The Hyams Foundation, Inc.",Neighborhood Development Corporation of Grove Hall,"15,000",2015,1 year,Not Specified,Community and economic development,Low-income people,Not Specified,Cash grants,Special Opportunity Fund- Other Grants/Racial Justice Policy
