Funder Name,City,State,Country,* Value of Grants,Number of Grants,Details
John and Sonia Lingos Family Foundation,West Yarmouth,MA,United States,"$157,500",14,
The Textron Charitable Trust,Providence,RI,United States,"$156,375",11,
The Mcj Amelior Foundation,Morristown,NJ,United States,"$155,625",3,
Eugene B. Bowen Universalist Trust,Providence,RI,United States,"$155,622",1,
The Kenrose Kitchen Table Foundation,Westlake Village,CA,United States,"$155,000",13,
The Lowell Institute,Boston,MA,United States,"$155,000",8,
Alice P. Chase Trust,Pittsburgh,PA,United States,"$155,000",6,
The Haldeman Family Foundation,Philadelphia,PA,United States,"$155,000",5,
Florence & Richard Koplow Family Foundation,Lexington,MA,United States,"$154,179",15,
Mayflower Society House Endowment Fund,Plymouth,MA,United States,"$153,900",1,
"Community Foundation of North Central Massachusetts, Inc.",Fitchburg,MA,United States,"$153,575",6,
Harold Alfond Foundation,Portland,ME,United States,"$153,344",2,
Amg Charitable Gift Foundation,Greenwood Village,CO,United States,"$153,000",4,
"Thomas Anthony Pappas Charitable Foundation, Inc.",Belmont,MA,United States,"$152,500",28,
Vila B. Webber 1985 Charitable Trust,Boston,MA,United States,"$152,500",7,
Usta Foundation,White Plains,NY,United States,"$152,500",3,
Duke Energy Foundation,Charlotte,NC,United States,"$151,678",11,
Artemas W. Stearns Trust,Andover,MA,United States,"$151,500",17,
"Grey Rocks Foundation, Inc.",Boston,MA,United States,"$152,000",12,
Duke Energy Foundation,Charlotte,NC,United States,"$151,678",11,
Artemas W. Stearns Trust,Andover,MA,United States,"$151,500",17,
Grace Jones Richardson Testamentary Trust,Greensboro,NC,United States,"$151,000",8,
John Simon Guggenheim Memorial Foundation,New York City,NY,United States,"$151,000",5,
Swedish Health Services,Renton,WA,United States,"$150,270",4,
Dean Welfare Trust,Pittsburgh,PA,United States,"$150,000",10,
Oren Campbell Mccleary Charitable Trust,Providence,RI,United States,"$150,000",7,
Edward T. Bedford Foundation,Palm Beach,FL,United States,"$150,000",5,
Frances Pew Hayes Family Foundation Inc.,Bolton,MA,United States,"$150,000",3,
Fund for Shared Insight,New York City,NY,United States,"$150,000",3,
Booth Ferris Foundation,New York City,NY,United States,"$150,000",2,
Cvs Health Foundation,Woonsocket,RI,United States,"$150,000",2,
Kaiser Foundation Hospitals,Oakland,CA,United States,"$150,000",2,
The Cushman Foundation,San Diego,CA,United States,"$150,000",2,
"The Davis Family Foundation, Inc.",Hanover,MD,United States,"$150,000",2,
The Tripadvisor Charitable Foundation,Needham,MA,United States,"$150,000",2,
Baytree Fund,Arcadia,CA,United States,"$150,000",1,
David Belk Cannon Foundation,Gastonia,NC,United States,"$150,000",1,
"I. A. O'Shaughnessy Foundation, Inc.",Bloomington,MN,United States,"$150,000",1,
"Nancy Foss Heath & Richard B. Heath Educational, Cultural, and Environmental Foundation",Boston,MA,United States,"$150,000",1,
Northwest Area Foundation,Saint Paul,MN,United States,"$150,000",1,
"The Eisner Foundation, Inc.",Beverly Hills,CA,United States,"$150,000",1,
The Physicians' Foundation,Columbia,SC,United States,"$150,000",1,
The Rrf Foundation for Aging,Chicago,IL,United States,"$149,863",1,
Joliet Foundation,Englewood,CO,United States,"$149,500",6,
F. A. O. Schwarz Family Foundation,Providence,RI,United States,"$149,000",11,
Armenian General Benevolent Union,New York City,NY,United States,"$149,000",4,
Esmond Harmsworth 1997 Charitable Foundation,Boston,MA,United States,"$148,333",6,
John and Golda Cohen Trust,Brookline Village,MA,United States,"$147,000",20,
Clark R. Smith Family Foundation,Providence,RI,United States,"$147,000",5,
Mimi and Peter Haas Fund,San Francisco,CA,United States,"$146,500",9,
"The Gertler Clark Foundation, Inc.",Weston,MA,United States,"$146,000",15,
Newsboys Reading Room Association,Weymouth,MA,United States,"$146,000",5,
Leaves of Grass Fund,Lincoln,MA,United States,"$145,500",22,
The Gap Foundation,San Francisco,CA,United States,"$145,250",3,
"Rutland Corner Foundation, Inc.",Boston,MA,United States,"$145,000",13,
Harold Brooks Foundation,Providence,RI,United States,"$145,000",9,
San Francisco Foundation,San Francisco,CA,United States,"$143,500",8,
The Green Street Foundation of San Francisco,San Francisco,CA,United States,"$143,090",3,
The Joe Lewis Jefferson Foundation Inc.,Weymouth,MA,United States,"$142,994",5,
"Palace Head Foundation, Inc.",Boston,MA,United States,"$142,800",17,
Marigold Charitable Trust,Boston,MA,United States,"$142,759",6,
Gansett Foundation,Boston,MA,United States,"$141,850",7,
"Brookline Community Foundation, Inc.",Brookline,MA,United States,"$141,452",10,
Islands Fund,Seattle,WA,United States,"$141,000",8,
"Legg Mason Charitable Foundation, Inc.",Baltimore,MD,United States,"$140,465",3,
The Elizabeth T. Fessenden Charitable Foundation,Boston,MA,United States,"$140,000",4,
Burroughs Wellcome Fund,Research Triangle Park,NC,United States,"$140,000",1,
The Louis Foundation,Cambridge,MA,United States,"$139,700",10,
The Bulens Family Foundation,Wellesley,MA,United States,"$139,600",14,
Tbl Charitable Foundation,Newtonville,MA,United States,"$139,400",6,
Sword and Spoon Foundation,Lexington,MA,United States,"$139,160",7,
Reynolds R. and Pamela M. Smith Foundation,Boston,MA,United States,"$138,977",6,
Moriah Fund,New York City,NY,United States,"$138,500",7,
Downey-Farnsworth Family Charitable Foundation,West Newton,MA,United States,"$138,275",2,
"Community Foundation of the Chattahoochee Valley, Inc.",Columbus,GA,United States,"$138,000",4,
Resist,Jamaica Plain,MA,United States,"$137,750",8,
Cambridge Savings Charitable Foundation Inc.,Cambridge,MA,United States,"$137,609",19,
Sirad Foundation Inc.,Ashburn,VA,United States,"$137,500",8,
The Women'S Fund of Western Massachusetts,Springfield,MA,United States,"$136,901",10,
Island Foundation,Aurora,CO,United States,"$135,000",9,
Keen Charitable Foundation,Boston,MA,United States,"$135,000",3,
The Charles Engelhard Foundation,New York City,NY,United States,"$135,000",3,
Amerisourcebergen Foundation,Chesterbrook,PA,United States,"$135,000",2,
Reynolds Family Foundation,Albany,NY,United States,"$135,000",1,
The North Pond Foundation,Wilmington,DE,United States,"$134,184",1,
"The Nonami Foundation, Inc.",Atlanta,GA,United States,"$133,334",2,
New England Biolabs Foundation,Ipswich,MA,United States,"$133,020",30,
Metro North Regional Employment Board,Cambridge,MA,United States,"$133,018",5,
Coghlin Services Fund,Worcester,MA,United States,"$132,584",42,
"Dean Foundation for Little Children, Inc.",Pittsburgh,PA,United States,"$131,800",12,
At&T Foundation,Dallas,TX,United States,"$131,517",9,
"Lego Community Fund U.S., Inc.",Enfield,CT,United States,"$130,000",3,
The Center for Cultural Innovation,Los Angeles,CA,United States,"$130,000",1,
Rose Community Foundation,Denver,CO,United States,"$129,000",5,
"The Leavens Foundation, Inc.",Long Valley,NJ,United States,"$129,000",5,
Justgive,Weston,CT,United States,"$128,775",10,
The Ireland Funds America,Boston,MA,United States,"$128,500",5,
Social Venture Partners Boston,Charlestown,MA,United States,"$127,000",5,
John S. and Amy S. Weinberg Foundation,New York City,NY,United States,"$126,000",4,
The Amg Charitable Foundation,Prides Crossing,MA,United States,"$126,000",3,
The Bressler Family Foundation,Boston,MA,United States,"$126,000",3,
Project Bread - the Walk for Hunger Inc.,East Boston,MA,United States,"$125,700",22,
Boston Bruins Foundation,Boston,MA,United States,"$125,694",10,
"Hermann Foundation, Inc.",Worcester,MA,United States,"$125,000",4,
Robert T. Keeler Foundation,Cincinnati,OH,United States,"$125,000",3,
"Aps Foundation, Inc.",Phoenix,AZ,United States,"$125,000",2,
Arie and Ida Crown Memorial,Chicago,IL,United States,"$125,000",2,
Mussafer Family Foundation,Weston,MA,United States,"$125,000",2,
The Steel Partners Foundation,Aspen,CO,United States,"$125,000",2,
"The Carroll and Milton Petrie Foundation, Inc.",New York City,NY,United States,"$125,000",1,
Bristol County Savings Charitable Foundation Inc.,Taunton,MA,United States,"$122,623",13,
The Day Charitable Trust,Woburn,MA,United States,"$122,500",12,
The Red Elm Tree Foundation Robe,Lincoln,MA,United States,"$122,500",11,
Massachusetts Medical Society and Alliance Charitable Foundation,Waltham,MA,United States,"$122,500",9,
Clean Water Fund,Washington,DC,United States,"$122,500",6,
"The Tudor Foundation, Inc.",Stamford,CT,United States,"$120,000",5,
"Polk Bros. Foundation, Inc.",Chicago,IL,United States,"$120,000",4,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
The Cht Foundation,Boston,MA,United States,"$113,500",25,
Robert Lloyd Corkin Charitable Foundation,Hudson,MA,United States,"$113,500",15,
Managers of Boston Port and,Salem,MA,United States,"$112,500",7,
Hampshire Community Unite,Northampton,MA,United States,"$112,084",6,
"The Giving Back Fund, Inc.",Beverly Hills,CA,United States,"$111,770",1,
Davis Family Charitable Trust,Chicago,IL,United States,"$111,500",5,
Rosse Family Charitable Foundation Inc.,Framingham,MA,United States,"$111,037",24,
The Goldberg Family Foundation,Boston,MA,United States,"$110,108",5,
Greater Boston Chamber of Commerce,Boston,MA,United States,"$110,000",16,
The Tiny Tiger Foundation,Chicago,IL,United States,"$110,000",15,
Water Cove Charitable Foundation,Albany,NY,United States,"$110,000",7,
Limestone Foundation,Boston,MA,United States,"$110,000",6,
Rhonda S Zinner Foundation,Wellesley,MA,United States,"$110,000",6,
Arts Midwest,Minneapolis,MN,United States,"$110,000",5,
Izumi Foundation,Boston,MA,United States,"$110,000",2,
"Pfizer Patient Assistance Foundation, Inc.",New York City,NY,United States,"$109,073",1,
Pechet Foundation,Dover,MA,United States,"$109,000",8,
"Cape Cod Foundation, Inc.",South Yarmouth,MA,United States,"$108,970",15,
Patagoniaorg,Los Angeles,CA,United States,"$108,916",14,
Brabson Library & Educational Foundation,Albuquerque,NM,United States,"$108,800",8,
Green Leaf Foundation,Boston,MA,United States,"$108,250",19,
Charles H. Hood Foundation,Boston,MA,United States,"$107,625",2,
The Richard A. & Helene M. Monaghan Family Foundation,Albany,NY,United States,"$107,500",7,
"Richard E. & Nancy P. Marriott Foundation, Inc.",Bethesda,MD,United States,"$107,317",2,
Joseph and Rae Gann Charitable Foundation,Bal Harbour,FL,United States,"$107,050",11,
Peck Stacpoole Foundation,New York City,NY,United States,"$105,900",3,
Ebling Family Foundation,Boston,MA,United States,"$105,500",7,
Mildred H. Mcevoy Foundation,Worcester,MA,United States,"$105,000",11,
The Morningside Foundation,Newton Centre,MA,United States,"$105,000",7,
The Josetta Fund,Boston,MA,United States,"$105,000",3,
The Diller-Von Furstenberg Family Foundation,New York City,NY,United States,"$105,000",2,
Bennett Family Foundation,Conshohocken,PA,United States,"$104,500",19,
Mission Hill/Fenway Neighborhood Trust Inc.,Boston,MA,United States,"$103,998",20,
Expanded Schools,New York City,NY,United States,"$103,511",1,
Temple University College of Education,Philadelphia,PA,United States,"$103,226",1,
Bright Funds Foundation,Oakland,CA,United States,"$103,105",10,
"First Literacy, Inc.",Boston,MA,United States,"$103,000",19,
Boston Women'S Fund,Boston,MA,United States,"$102,920",8,
Roberta M. Childs Charitable Foundation,Plymouth,MA,United States,"$102,788",9,
Kane Wallace Foundation,Concord,MA,United States,"$102,500",9,
"Frankel Family Foundation, Inc.",West Caldwell,NJ,United States,"$102,000",4,
"If Hummingbird Foundation, Inc.",Chilmark,MA,United States,"$101,750",3,
United Way of King County,Seattle,WA,United States,"$101,701",3,
The Matthew & Tracy Smith Foundation,New York City,NY,United States,"$101,500",2,
The American Hotel and Lodging Educational Foundation,Washington,DC,United States,"$101,425",1,
Passport Foundation,Wilmington,DE,United States,"$100,700",3,
Kershaw Foundation Charitable Trust,Boston,MA,United States,"$100,600",13,
Amica Companies Foundation,Lincoln,RI,United States,"$100,559",16,
National Endowment for Democracy,Washington,DC,United States,"$100,400",1,
Travelers Foundation,Saint Paul,MN,United States,"$100,250",3,
"Sarracenia Foundation, Inc.",New Orleans,LA,United States,"$100,000",5,
Silva Watson Moonwalk Fund,Larkspur,CA,United States,"$100,000",5,
"The Gerald T. Cameron Family Charitable Foundation, Inc.",Coral Gables,FL,United States,"$100,000",5,
The Hazeldean Foundation,Boston,MA,United States,"$100,000",5,
Conard-Davis Family Foundation,New York City,NY,United States,"$100,000",3,
Diana Davis Spencer Foundation,Bethesda,MD,United States,"$100,000",3,
"Hurston Family Foundation, Inc.",North Andover,MA,United States,"$100,000",3,
Kalliopeia Foundation,San Rafael,CA,United States,"$100,000",3,
The C. F. Adams Charitable Trust,Boston,MA,United States,"$100,000",3,
Ascendium Education Group,Madison,WI,United States,"$100,000",2,
"Bny Mellon Foundation, Inc.",Pittsburgh,PA,United States,"$100,000",2,
"Epic Foundation, Inc.",New York City,NY,United States,"$100,000",2,
Patrick & Aimee Butler Family Foundation,Saint Paul,MN,United States,"$100,000",2,
"The Gould Family Foundation, Inc.",Atlanta,GA,United States,"$100,000",2,
Beth and Ravenel Curry Foundation,New York City,NY,United States,"$100,000",1,
"Cs Family Foundation, Inc.",New York City,NY,United States,"$100,000",1,
D2F2,San Francisco,CA,United States,"$100,000",1,
Foundation for the Charlotte Jewish Community,Charlotte,NC,United States,"$100,000",1,
Greater Twin Cities United Way,Minneapolis,MN,United States,"$100,000",1,
Inasmuch Foundation,Oklahoma City,OK,United States,"$100,000",1,
Kenjohn and Jacqueline Wang Foundation,Long Beach,CA,United States,"$100,000",1,
Mitsubishi Corporation Foundation for the Americas,New York City,NY,United States,"$100,000",1,
Musk Foundation,Austin,TX,United States,"$100,000",1,
"Mvyouth, Inc.",Chilmark,MA,United States,"$100,000",1,
Pisces Foundation,San Francisco,CA,United States,"$100,000",1,
Republic Services Charitable Foundation,Phoenix,AZ,United States,"$100,000",1,
Russell C and Cornelie G,Lafayette,LA,United States,"$100,000",1,
"Stephen C. Freidheim Foundation, Inc.",New York City,NY,United States,"$100,000",1,
"The Barra Foundation, Inc.",Wayne,PA,United States,"$100,000",1,
The H.B.B. Foundation,Aurora,IL,United States,"$100,000",1,
The K2 Wind Foundation Inc.,Hollywood,FL,United States,"$100,000",1,
The Libra Foundation,San Francisco,CA,United States,"$100,000",1,
"The Oxford League, Inc.",Hampton,NH,United States,"$100,000",6,
The Hazeldean Foundation,Boston,MA,United States,"$100,000",5,
Towards Sustainability Foundation,Boston,MA,United States,"$100,000",5,
"The Marc Haas Foundation, Inc.",New York City,NY,United States,"$100,000",4,
The Toole Charitable Foundation,Incline Village,NV,United States,"$100,000",4,
The Werner Family Foundation,Los Angeles,CA,United States,"$100,000",4,
The Tupancy-Harris Foundation of 1986,Boston,MA,United States,"$100,000",2,
Vanguard Charitable Gift Fund,Malvern,PA,United States,"$100,000",2,
"Z. Smith Reynolds Foundation, Inc.",Winston-Salem,NC,United States,"$100,000",2,
The K2 Wind Foundation Inc.,Hollywood,FL,United States,"$100,000",1,
The Libra Foundation,San Francisco,CA,United States,"$100,000",1,
The Northrop Grumman Foundation,Falls Church,VA,United States,"$100,000",1,
The Y.C. Ho/Helen & Michael Chiang Foundation,New York City,NY,United States,"$100,000",1,
Toyota Usa Foundation,Plano,TX,United States,"$100,000",1,
Trustees of Dartmouth College,Hanover,NH,United States,"$100,000",1,
"Van Beuren Charitable Foundation, Inc.",Newport,RI,United States,"$100,000",1,
Walter and Elise Haas Fund,San Francisco,CA,United States,"$100,000",1,
"The Pfizer Foundation, Inc.",New York City,NY,United States,"$99,799",92,
Mr. Owl Foundation,Waltham,MA,United States,"$99,500",7,
Agnes M. Lindsay Trust,Bedford,NH,United States,"$99,361",32,
Foundation M,Andover,MA,United States,"$99,000",17,
The Linda Wisnewski and William Collatos Family Foundation,Newton,MA,United States,"$98,500",9,
Greater Boston Council on Alcoholism Inc,Watertown,MA,United States,"$98,000",14,
Further Forward Foundation Inc,Babylon,NY,United States,"$98,000",5,
"American Cancer Society, Inc.",Atlanta,GA,United States,"$98,000",4,
Bradley Impact Fund,Milwaukee,WI,United States,"$98,000",4,
The Alchemy Foundation,Cambridge,MA,United States,"$97,520",67,
East Bay Community Foundation,Oakland,CA,United States,"$97,000",10,
Obermayer Foundation Inc,Dedham,MA,United States,"$96,300",8,
The Bessemer Giving Fund,Woodbridge,NJ,United States,"$96,250",4,
Adelard A. & Valeda Lea Roy Foundation,Boston,MA,United States,"$96,000",21,
The Trust Family Foundation,Auburndale,MA,United States,"$96,000",10,
The Rogers Family Foundation,Lincoln,MA,United States,"$96,000",2,
Delaware Community Foundation,Wilmington,DE,United States,"$95,514",3,
Aquidneck Foundation,Boston,MA,United States,"$95,319",13,
"The Daniele Agostino Derossi Foundation, Inc.",Lexington,MA,United States,"$95,228",1,
Mitchell Kapor Foundation,Oakland,CA,United States,"$95,015",4,
Swanee Hunt Family Foundation,Washington,DC,United States,"$95,000",14,
The Walbridge Fund,New York City,NY,United States,"$95,000",11,
Morgens West Foundation,Atlanta,GA,United States,"$95,000",6,
The Clements Foundation Inc.,Wilmington,DE,United States,"$95,000",6,
The Anthony & Gladys Sakowich Charitable Foundation,Tilton,NH,United States,"$95,000",5,
Lannan Foundation,Santa Fe,NM,United States,"$95,000",4,
"The Esther A. & Joseph Klingenstein Fund, Inc.",New York City,NY,United States,"$95,000",3,
The Germanacos Foundation,San Francisco,CA,United States,"$95,000",2,
Living Springs Foundation,Minneapolis,MN,United States,"$94,529",23,
Charles M. Cox Trust,Providence,RI,United States,"$94,297",10,
The Ong Family Foundation,New York City,NY,United States,"$94,175",5,
Holdeen Fund 46-10,Las Vegas,NV,United States,"$93,198",4,
"Children'S Investment Fund, Inc.",Boston,MA,United States,"$93,127",6,
The Jennison Charitable Foundation,Boston,MA,United States,"$92,500",4,
Frank W. Weston Estate Trust,Providence,RI,United States,"$92,044",4,
Amos and Boris Fund,Boston,MA,United States,"$92,000",11,
Cathay Bank Foundation,El Monte,CA,United States,"$91,500",11,
"Stedawill Art Foundation, Inc.",New York City,NY,United States,"$91,384",1,
Umsizi Fund,Wilmington,DE,United States,"$91,218",1,
"The Nypro Foundation, Inc.",Clinton,MA,United States,"$91,100",12,
Eugene F. Fay Trust,Pittsburgh,PA,United States,"$91,000",28,
Landry Family Foundation,Boston,MA,United States,"$90,500",10,
Clara B. Winthrop Charitable Trust,Boston,MA,United States,"$90,000",13,
D. W. Gore Family Foundation,Wilmington,DE,United States,"$90,000",10,
Frank Gerrity Charitable Trust,Braintree,MA,United States,"$90,000",10,
"Cranaleith Foundation, Inc.",New York City,NY,United States,"$90,000",6,
John W. Alden Trust,Boston,MA,United States,"$90,000",6,
The Grable Foundation,Pittsburgh,PA,United States,"$90,000",6,
The Jersey Foundation,Boston,MA,United States,"$90,000",6,
American Heart Association,Dallas,TX,United States,"$90,000",4,
Samuel C. Endicott Fund,Boston,MA,United States,"$90,000",4,
Elbridge Stuart Foundation,San Francisco,CA,United States,"$90,000",2,
Dorothy Melcher Sneath Trust,Pittsburgh,PA,United States,"$90,000",1,
The Yale Charitable Foundation,Stoughton,MA,United States,"$89,854",17,
National Association for Latino Community Asset Builders,San Antonio,TX,United States,"$89,500",4,
"The Hanover Insurance Group Foundation, Inc.",Worcester,MA,United States,"$88,730",35,
Kahn Charitable Foundation,Chestnut Hill,MA,United States,"$88,286",3,
"Bond Brothers Foundation, Inc.",Medford,MA,United States,"$88,000",13,
The Ogden Codman Trust,Boston,MA,United States,"$88,000",4,
"The Peggy Meyerhoff Pearlstone Foundation, Inc.",Baltimore,MD,United States,"$87,500",9,
Springbank Foundation,Plymouth Meeting,PA,United States,"$87,500",4,
The Mccarthy Family Foundation,Peabody,MA,United States,"$87,500",4,
Finnegan Family Foundation,Chicago,IL,United States,"$87,500",2,
United Way of Greater Attleboro- Taunton Inc,Attleboro,MA,United States,"$87,500",2,
The Arnold P. Gold Foundation,Englewood Cliffs,NJ,United States,"$87,500",1,
Lars Foundation,Cambridge,MA,United States,"$87,344",14,
Drw Trading Group Foundation,Chicago,IL,United States,"$87,105",6,
Irwin Chafetz Family Charitable Trust,Needham,MA,United States,"$86,000",6,
Protein Foundation,Portland,ME,United States,"$86,000",5,
C. Margaret Browne Trust,Providence,RI,United States,"$85,944",6,
Boston Sand & Gravel Company Charitable Foundation,Boston,MA,United States,"$85,900",19,
Lifespan Corporation,Providence,RI,United States,"$85,750",7,
The Harborone Foundation,Brockton,MA,United States,"$85,000",10,
"Normandie Foundation, Inc.",New York City,NY,United States,"$85,000",8,
Florian O. Bartlett Trust,Dallas,TX,United States,"$85,000",7,
Greater Milwaukee Foundation,Milwaukee,WI,United States,"$85,000",7,
Laura J. Niles Foundation,Old Greenwich,CT,United States,"$85,000",7,
Nathaniel Saltonstall Arts Fund,New York City,NY,United States,"$85,000",7,
Wales Home Inc,Liberty Street,MA,United States,"$85,000",6,
"The Alvin and Fanny Blaustein Thalheimer Foundation, Inc.",Baltimore,MD,United States,"$85,000",5,
Wjo Foundation,Los Angeles,CA,United States,"$85,000",2,
Piltch Family Foundation,Lewes,DE,United States,"$84,785",1,
Berkshire United Way Inc,Pittsfield,MA,United States,"$84,000",4,
Cardinal Brook Trust,Boston,MA,United States,"$83,500",11,
Garden Neighborhood Charities,Boston,MA,United States,"$83,257",4,
Sarah W. Rollins Charitable Trust,Boston,MA,United States,"$83,000",5,
Westwind Foundation,Charlottesville,VA,United States,"$82,000",6,
"Peace Development Fund, Inc.",Amherst,MA,United States,"$81,429",6,
Joseph P. Donahue Charitable Foundation,Lebanon,NH,United States,"$81,000",14,
Aon Foundation,Chicago,IL,United States,"$80,575",23,
"The Bromley Foundation, Inc.",Chestnut Hill,MA,United States,"$80,000",4,
Farmer Family Foundation,Cincinnati,OH,United States,"$80,000",3,
Target Foundation,Minneapolis,MN,United States,"$80,000",3,
Tikkun Olam Foundation Inc.,New York City,NY,United States,"$80,000",3,
Clara Elizabeth Jackson Carter Foundation,Hyattsville,MD,United States,"$80,000",2,
Flora Family Foundation,Menlo Park,CA,United States,"$80,000",2,
The Starfish Group,Seattle,WA,United States,"$80,000",2,
"Fund for the City of New York, Inc.",New York City,NY,United States,"$80,000",1,
Tortuga Foundation,New York City,NY,United States,"$80,000",1,
The Will & Jada Smith Family Foundation,Los Angeles,CA,United States,"$78,500",3,
Peoplesbank Charitable Foundation Inc,Holyoke,MA,United States,"$77,625",16,
Arcus Foundation,New York City,NY,United States,"$77,500",8,
"James S. Mcdonnell Family Foundation, Inc.",Lincoln,MA,United States,"$76,563",2,
Foundation Beyond Belief Inc,Houston,TX,United States,"$76,200",3,
The Gould Charitable Foundation,Boston,MA,United States,"$76,163",3,
Rae Family Charitable Foundation Trust,Winthrop,MA,United States,"$76,000",10,
"The 484 Phi Alpha Foundation, Inc.",Northampton,MA,United States,"$76,000",6,
Santa Barbara Foundation,Santa Barbara,CA,United States,"$76,000",4,
The Reebok Foundation,Boston,MA,United States,"$75,725",18,
"United South & Eastern Tribes, Inc",Nashville,TN,United States,"$75,480",1,
The Allen H. and Selma W. Berkman Charitable Trust,Boston,MA,United States,"$75,000",16,
John C. & Eunice B. Morrison Charitable Foundation,Boston,MA,United States,"$75,000",14,
The Roessner Family Foundation Inc.,Harwich Port,MA,United States,"$75,000",10,
The Horne Family Foundation,Boston,MA,United States,"$75,000",6,
John Pritzker Family Fund,Redwood City,CA,United States,"$75,000",3,
Leonard & Hilda Kaplan Charitable Foundation,Providence,RI,United States,"$75,000",3,
The Mahoney Family Foundation,Albany,NY,United States,"$75,000",3,
United Way of Greater Cincinnati,Cincinnati,OH,United States,"$75,000",3,
Edward C. Johnson Fund,Boston,MA,United States,"$75,000",2,
Scott A. Nathan Charitable Trust,Boston,MA,United States,"$75,000",2,
Moveon Civic Action,Berkeley,CA,United States,"$75,000",1,
Optica,Washington,DC,United States,"$75,000",1,
"The Citybridge Foundation, Inc.",Washington,DC,United States,"$75,000",1,
The Ira W. Decamp Foundation,New York City,NY,United States,"$75,000",1,
The Sheth Sangreal Foundation,Austin,TX,United States,"$75,000",1,
"Giving Grousbeck Fazzalari Dated April 20, 2011",Point Pleasant,NJ,United States,"$74,500",3,
Stifler Family Foundation,Brookline,MA,United States,"$73,857",14,
"Insurance Industry Charitable Foundation, Inc",Los Angeles,CA,United States,"$73,466",4,
The Rowe Family Charitable Trust,Newton,MA,United States,"$73,000",8,
Pottstown Area Health & Wellness Foundation,Pottstown,PA,United States,"$72,354",5,
The C. Jean & Myles Mcdonough Charitable Foundation,Worcester,MA,United States,"$72,100",10,
Pemberton Family Foundation,Osterville,MA,United States,"$71,556",6,
Bird Charles Sumner Foundation Trust,Pittsburgh,PA,United States,"$71,000",3,
Pearson Foundation Fund,Providence,RI,United States,"$70,728",20,
Irving Harris Foundation,Chicago,IL,United States,"$70,200",3,
See Forward Fund Inc,Northampton,MA,United States,"$70,000",4,
The Morgan Family Foundation,Shawnee Mission,KS,United States,"$70,000",4,
Gisela B. Hogan Charitable Foundation,Boston,MA,United States,"$70,000",3,
"Raskob Foundation for Catholic Activities, Inc.",Wilmington,DE,United States,"$70,000",3,
Clara Lionel Foundation,Brooklyn,NY,United States,"$70,000",2,
Davis Family Foundation,Yarmouth,ME,United States,"$70,000",2,
The Dan and Terese Heintzelman Family Fnd,Boston,MA,United States,"$70,000",2,
Bethesda Foundation,Cincinnati,OH,United States,"$70,000",1,
Bethesda Inc,Cincinnati,OH,United States,"$70,000",1,
Lucy and Ramon Breeden Foundation,Virginia Beach,VA,United States,"$70,000",1,
The Gabrieli Family Foundation,Topsfield,MA,United States,"$69,700",12,
"Longfield Family Foundation, Inc.",Cambridge,MA,United States,"$69,500",24,
"A. C. Israel Foundation, Inc.",New York City,NY,United States,"$69,500",7,
The Irene Ryan Foundation,Medfield,MA,United States,"$69,486",2,
"John A. Mcneice, Jr. Charitable Foundation",Boston,MA,United States,"$69,000",6,
South Shore Elder Services Inc,Braintree,MA,United States,"$68,006",6,
Llh/Lhm Foundation,Montpelier,VT,United States,"$68,000",7,
The Episode Foundation,Boston,MA,United States,"$68,000",5,
The Linnemann Family Foundation,Cincinnati,OH,United States,"$67,907",4,
Mattina R. Proctor Foundation,Boston,MA,United States,"$67,500",6,
The Ratliff Charitable Foundation,Birmingham,AL,United States,"$67,500",4,
Rockland Trust Charitable Foundation Inc,Rockland,MA,United States,"$67,000",17,
Brown Rudnick Charitable Foundation Corporation,Boston,MA,United States,"$67,000",5,
The Aec Trust,Wilmington,DE,United States,"$67,000",4,
The Joseph E. Corcoran Charitable Foundation,Boston,MA,United States,"$67,000",4,
Pitching in for Kids Inc 019647,Boston,MA,United States,"$67,000",3,
The Greater New Orleans Foundation,New Orleans,LA,United States,"$66,850",12,
Sherrill Family Foundation,New York City,NY,United States,"$66,750",2,
The Milner Family Foundation,Highland,MD,United States,"$66,000",5,
Ilene Beal Chari Table Foundation,Wayland,MA,United States,"$66,000",2,
League of Women Voters of Massachusetts,Boston,MA,United States,"$65,686",1,
Forest Foundation,Boston,MA,United States,"$65,550",8,
Clif Family Foundation,Emeryville,CA,United States,"$65,500",15,
The Grove Creek Fund,Uniondale,NY,United States,"$65,500",14,
"John W. Henry Family Foundation, Inc.",Boca Raton,FL,United States,"$65,500",13,
The Richard and Clare Lesser Family Foundation,Jupiter,FL,United States,"$65,450",11,
Columbus Foundation,Columbus,OH,United States,"$65,340",13,
"Berkshire Bank Foundation, Inc.",Pittsfield,MA,United States,"$65,325",23,
Scherck Charitable Foundation,St. Louis,MO,United States,"$65,000",5,
Bafflin Foundation,Providence,RI,United States,"$65,000",3,
Dpr Foundation,Redwood City,CA,United States,"$65,000",2,
Gloria and Charles Clough Foundation,Concord,MA,United States,"$65,000",2,
The Altamira Foundation,Westwood,MA,United States,"$65,000",2,
Nazzaro Recreation Center Inc,Boston,MA,United States,"$65,000",1,
Richard Saltonstall Charitable Foundation,Boston,MA,United States,"$65,000",1,
