Funder Name,Funder EIN,Funder Financial Date,Funder Financial Assets,Funder Financial Expenditures,Funder Financial Total Giving,Funder Financial Grant Amount,Funder Telephone,Funder Email,Funder Website,Funder Address
Eos Foundation,43494831,2019,"$41,583,368 ","$3,104,712 ","$1,459,809 ",N/A,5084308130, info@EosFoundation.org,http://www.eosfoundation.org,"537 Main St., Ste. 12
Harwich Port, MA, United States 02646-1894"
Hazard Family Foundation,43338927,2019,"$14,081,363 ","$716,661 ","$527,200 ",N/A,6172621903,N/A,N/A,"23 Marlborough Street
Boston, MA, United States 02116"
Henrietta F. Dexter Trust,46018698,2019,N/A,"$16,156,786 ","$16,045,562 ",N/A,8888663275,N/A,N/A,"P O Box 1802
Providence, RI, United States 02901-1802"
Demoulas Market Basket Foundation,42723441,2019,"$25,086,036 ","$1,535,384 ","$1,447,350 ",N/A,9782441024,N/A,N/A,"286 Chelmsford St
Chelmsford, MA, United States 01824-2403"
Afl-Cio,530228172,2020,"$128,792,196 ","$93,476,799 ","$17,789,447 ","$17,789,447 ",2026375250,N/A,http://www.aflcio.org,"815 16th Street Nw
Washington, DC, United States 20006"
The Snider Foundation,232047668,2020,"$148,967,903 ","$12,330,066 ","$10,301,111 ",N/A,4843802548,N/A,N/A,"937 E Haverford Rd No 104
Bryn Mawr, PA, United States 19010"
The Edward D. Jones & Co. Foundation,431595600,2019,"$32,781,473 ","$7,981,923 ","$7,859,062 ",N/A,3145152000,N/A,N/A,"Po Box 66541
St. Louis, MO, United States 631666541"
The Green Foundation,954509163,2019,"$166,259,139 ","$8,998,831 ","$7,128,489 ",N/A,6267440323, kylies@ligf.org,N/A,"1971 E FOURTH STREET SUITE 320
Santa Ana, CA, United States 92705"
The Hershey Family Foundation,341574366,2019,"$82,540,711 ","$5,874,601 ","$5,710,116 ",N/A,6179517918,N/A,N/A,"800 Boylston St., Ste. 3600
Boston, MA, United States 02199-3600"
The Kryder Family Foundation,271568014,2020,"$609,374 ","$2,250 ",$0 ,N/A,6175275697,N/A,N/A,"72 Pine Ridge Road
Newton, MA, United States 02468"
The Marcled Foundation,200595609,2016,"$3,672,079 ","$3,075,554 ","$2,473,000 ",N/A,(415) 346-5757, marcled@marcled.org,http://www.marcled.org,"235 Montgomery St., Ste. 1270
San Francisco, CA, United States 94104-2912"
The Ausolus Trust,43368079,2019,"$22,625,406 ","$1,651,780 ","$1,212,500 ",N/A,6176240800,N/A,N/A,"88 Broad St 2nd Floor
Boston, MA, United States 02110"
Permanent Endowment for Marthas Vineyard Inc,42774790,2018,"$12,265,720 ","$1,052,281 ","$485,966 ","$225,682 ",5083384665, info@endowmv.org,http://www.endowmv.org,"4c Cournoyer Rd
West Tisbury, MA, United States 2575"
Enterprise Holdings Foundation,431262762,2020,"$410,831,114 ","$52,993,637 ","$52,567,842 ",N/A,(314) 512-5000, foundation@ehi.com,https://www.enterpriseholdings.com/e...,"600 Corporate Park Dr
Clayton, MO, United States 631054204"
John and Sonia Lingos Family Foundation,43134266,2020,"$5,275,387 ","$315,944 ","$310,725 ",N/A,5087379527,N/A,N/A,"32 Jacqueline Circle
West Yarmouth, MA, United States 02673"
The Textron Charitable Trust,256115832,2019,"$4,858,888 ","$4,210,465 ","$3,998,300 ",N/A,4014212800, kwarfield@textron.com,http://www.textron.com/about/our-com...,"40 Westminster Street
Providence, RI, United States 02903"
The MCJ Amelior Foundation,222497895,2019,"$96,363,531 ","$7,033,779 ","$4,117,144 ",N/A,9735409020,N/A,N/A,"310 South Street 4th Floor
Morristown, NJ, United States 07960"
Eugene B. Bowen Universalist Trust,46437940,2013,"$2,030,168 ","$186,794 ","$155,822 ","$155,822 ",N/A,N/A,N/A,"P.O. 1802
Providence, RI, United States 02901-1802"
The Kenrose Kitchen Table Foundation,203951665,2019,"$28,272,721 ","$2,374,896 ","$2,050,000 ",N/A,8052083900,N/A,N/A,"2945 Townsgate Road Suite 200
Westlake Village, CA, United States 91361"
The Lowell Institute,42105771,2020,"$46,264,166 ","$1,622,121 ","$1,332,686 ",N/A,6172484760,N/A,N/A,"Choate LLP PO Box 961019
Boston, MA, United States 02196"
Alice P. Chase Trust,46093897,2020,"$6,304,590 ","$307,663 ","$251,000 ",N/A,6177227626,N/A,N/A,"Po Box 185
Pittsburgh, PA, United States 152300185"
The Haldeman Family Foundation,352218296,2020,"$25,400,022 ","$899,650 ","$897,666 ",N/A,2159942256,N/A,N/A,"Co Dechert Llp 2929 Arch St
Philadelphia, PA, United States 191042808"
Florence & Richard Koplow Family Foundation,46862775,2019,"$6,726,076 ","$378,037 ","$328,053 ",N/A,7816742360,N/A,N/A,"#115 405 Waltham Street
Lexington, MA, United States 02421-7934"
Mayflower Society House Endowment Fund,46112605,2020,"$4,412,662 ","$186,626 ","$159,300 ","$159,300 ",5087463188,N/A,N/A,"Po Box 3297
Plymouth, MA, United States 02361"
"Community Foundation of North Central Massachusetts, Inc.",43537449,2020,"$57,183,727 ","$6,006,127 ","$5,375,930 ",N/A,(978) 345-8383, info@cfncm.org,http://www.cfncm.org,"649 John Fitch Hwy.
Fitchburg, MA, United States 01420-5998"
Harold Alfond Foundation,223281672,2019,"$895,383,391 ","$58,455,128 ","$46,816,906 ",N/A,2078287999, info@haroldalfondfoundation.org,http://www.haroldalfondfoundation.org,"Co Dexter Entrps Two Monument Sq
Portland, ME, United States 04101"
AMG Charitable Gift Foundation,841260437,2019,"$120,959,621 ","$13,907,450 ","$13,363,255 ","$13,363,255 ",3036942190,N/A,N/A,"6295 Greenwood Plaza Blvd
Greenwood Village, CO, United States 801114908"
"Thomas Anthony Pappas Charitable Foundation, Inc.",510153284,2019,N/A,"$684,852 ","$144,000 ",N/A,7818622802, jpappas@tapcf.org,N/A,"P. O. Box 463
Belmont, MA, United States 02478"
Vila B. Webber 1985 Charitable Trust,222824617,2020,"$4,316,025 ","$325,951 ","$282,500 ",N/A,6172484760,N/A,N/A,"co Choate LLP PO Box 961019
Boston, MA, United States 02196"
USTA Foundation,133782331,2019,"$10,891,908 ","$7,850,219 ","$5,315,620 ","$5,009,120 ",9146967000, foundation@usta.com,http://www.ustafoundation.com/,"70 West Red Oak Ln
White Plains, NY, United States 10604"
Duke Energy Foundation,581586283,2019,"$3,790,579 ","$31,853,722 ","$31,829,625 ",N/A,7043827200, communityaffairs@duke-energy.com,https://www.duke-energy.com/communit...,"526 S Church Street
Charlotte, NC, United States 28202"
Artemas W. Stearns Trust,42137061,2020,"$5,286,912 ","$276,111 ","$181,000 ",N/A,9786870156, stearnstrust@yahoo.com,N/A,"9 Bartlet Street No 343
Andover, MA, United States 01810"
Vila B. Webber 1985 Charitable Trust,222824617,2020,"$4,316,025 ","$325,951 ","$282,500 ",N/A,6172484760,N/A,N/A,"co Choate LLP PO Box 961019
Boston, MA, United States 02196"
"Grey Rocks Foundation, Inc.",42944189,2019,"$49,282,155 ","$2,691,449 ","$2,340,121 ",N/A,6175746700,N/A,N/A,"200 Clarendon St., 56th Fl.
Boston, MA, United States 02116-5043"
Duke Energy Foundation,581586283,2019,"$3,790,579 ","$31,853,722 ","$31,829,625 ",N/A,7043827200, communityaffairs@duke-energy.com,https://www.duke-energy.com/communit...,"526 S Church Street
Charlotte, NC, United States 28202"
Artemas W. Stearns Trust,42137061,2020,"$5,286,912 ","$276,111 ","$181,000 ",N/A,9786870156, stearnstrust@yahoo.com,N/A,"9 Bartlet Street No 343
Andover, MA, United States 01810"
Grace Jones Richardson Testamentary Trust,66023003,2019,"$140,321,019 ","$2,034,615 ","$1,580,000 ",N/A,3365748675,N/A,N/A,"Po Box 20124
Greensboro, NC, United States 27420"
John Simon Guggenheim Memorial Foundation,135673173,2019,"$316,705,094 ","$18,067,521 ","$9,569,750 ",N/A,2126874470, fellowships@gf.org,http://www.gf.org,"90 Park Avenue - 33rd Floor
New York City, NY, United States 10016"
Swedish Health Services,910433740,2019,"$2,473,425,909 ","$2,145,592,349 ","$7,171,563 ","$7,171,563 ",(206) 682-2550,N/A,http://www.swedish.org,"1801 Lind Ave. S.W.
Renton, WA, United States 98057"
Dean Welfare Trust,46046890,2020,"$1,182,741 ","$68,235 ","$60,000 ",N/A,6177226922,N/A,N/A,"Po Box 185
Pittsburgh, PA, United States 152300185"
Oren Campbell Mccleary Charitable Trust,306310996,2020,"$2,047,373 ","$143,999 ","$109,000 ",N/A,8888663275,N/A,N/A,"Po Box 1802
Providence, RI, United States 029011802"
Edward T. Bedford Foundation,656164872,2019,"$18,211,951 ","$1,247,597 ","$883,938 ",N/A,5616554030,N/A,http://edwardtbedfordfoundation.org,"222 Royal Palm Way
Palm Beach, FL, United States 33480"
Frances Pew Hayes Family Foundation Inc.,650297367,2018,"$4,530,973 ","$378,503 ","$207,000 ",N/A,9787796251, jhoward.black@raymondjames.com,N/A,"103 Drumlin Hill Rd.
Bolton, MA, United States 01740-2021"
Fund for Shared Insight,N/A,,N/A,N/A,N/A,N/A,N/A, melinda@fundforsharedinsight.org,http://www.fundforsharedinsight.org,"6 West 48th St., 10th Fl.
New York City, NY, United States 10036"
Booth Ferris Foundation,136170340,2015,"$215,546,451 ","$13,362,247 ","$11,870,850 ",N/A,N/A, samantha.r.ender@jpmorgan.com,http://fdnweb.org/boothferris,"390 Madison Ave.
New York City, NY, United States 10017-2014"
CVS Health Foundation,223206973,2019,"$94,251,341 ","$14,791,633 ","$9,931,141 ",N/A,4017651500, joanne.dwyer@cvshealth.com,N/A,"1 CVS Dr.
Woonsocket, RI, United States 02895-6146"
Kaiser Foundation Hospitals,941105628,2019,"$52,964,463,128 ","$26,710,327,910 ","$435,125,101 ","$433,926,623 ",5102716611,N/A,http://www.kp.org,"One Kaiser Plaza 15l
Oakland, CA, United States 94612"
The Cushman Foundation,330643458,2016,"$23,070,344 ","$1,221,744 ","$1,007,100 ",N/A,(858) 549-2874, foundation@cushnet.net,http://www.cushenterprises.com,"10620 Treena St., Ste. 110
San Diego, CA, United States 92131-1140"
"The Davis Family Foundation, Inc.",10751429,2019,"$952,920,743 ","$43,107,431 ","$41,754,916 ",N/A,8773883823,N/A,N/A,"Po Box 468
Hanover, MD, United States 210760468"
The TripAdvisor Charitable Foundation,271457299,2018,"$42,307,528 ","$4,141,029 ",N/A,N/A,7818005000,N/A,http://www.tripadvisor.com/careers/c...,"400 First Ave.
Needham, MA, United States 02494"
BayTree Fund,260084354,2018,$0 ,"$37,335,844 ","$36,986,882 ",N/A,6264629280,N/A,N/A,"44 E. Foothill Blvd., Ste. 100
Arcadia, CA, United States 91006-2305"
David Belk Cannon Foundation,270004751,2019,"$124,485,676 ","$7,012,643 ","$4,234,666 ",N/A,7048546006,N/A,N/A,"Po Box 3746
Gastonia, NC, United States 280540038"
"I. A. O'Shaughnessy Foundation, Inc.",416011524,2019,"$101,470,338 ","$4,450,622 ","$3,058,188 ",N/A,6512222323, iaoshaughnessyfdn@tds.net,http://www.iaoshaughnessyfdn.org,"2001 Killebrew Drive No 120
Bloomington, MN, United States 55425"
"Nancy Foss Heath & Richard B. Heath Educational, Cultural, and Environmental Foundation",223113730,2019,"$28,080,987 ","$1,398,233 ","$1,090,000 ",N/A,6176959799,N/A,N/A,"77 Summer St., Suite 601
Boston, MA, United States 02110"
Northwest Area Foundation,410719221,,N/A,N/A,N/A,N/A,6512249635, cstalker@nwaf.org,https://www.nwaf.org,"60 Plato Blvd E, Suite 400
Saint Paul, MN, United States 55107"
"The Eisner Foundation, Inc.",954607191,2019,"$171,086,986 ","$10,355,034 ","$7,535,965 ",N/A,3102286828, info@eisnerfoundation.org,http://www.eisnerfoundation.org,"9401 Wilshire Blvd., Ste. 735
Beverly Hills, CA, United States 90212-2947"
The Physicians' Foundation,200914085,2019,"$118,723,740 ","$6,880,824 ","$3,008,992 ","$3,008,992 ",6173990417, info@physiciansfoundation.org,http://physiciansfoundation.org,"132 Westpark Blvd.
Columbia, SC, United States 29210-3856"
The RRF Foundation for Aging,362429540,2019,"$145,836,190 ","$11,375,740 ","$6,343,487 ",N/A,7737148080, info@rrf.org,http://www.rrf.org,"8765 West Higgins Road
Chicago, IL, United States 60631-4170"
Joliet Foundation,841012090,2020,"$2,108,986 ","$114,735 ","$96,000 ",N/A,3036234158,N/A,N/A,"9540 S Maroon Cir Ste 210
Englewood, CO, United States 80112"
F. A. O. Schwarz Family Foundation,136986221,2020,"$2,798,365 ","$583,326 ","$412,000 ",N/A,8888663275,N/A,N/A,"P O Box 1802
Providence, RI, United States 029011802"
Armenian General Benevolent Union,135600421,2019,"$260,335,515 ","$28,041,182 ","$14,408,360 ","$2,870,166 ",2123196383, agbuwb@agbu.org,http://www.agbu.org,"55 E 59th Street 7th Floor
New York City, NY, United States 10022"
Esmond Harmsworth 1997 Charitable Foundation,46838152,2019,"$8,156 ","$65,000 ","$65,000 ",N/A,6172364148,N/A,http://n.a.,"545 Doylston Street
Boston, MA, United States 02116"
John and Golda Cohen Trust,597222346,2019,"$14,123,986 ","$974,479 ","$721,000 ",N/A,4077670037,N/A,N/A,"PO Box 470777
Brookline Village, MA, United States 02447"
Clark R. Smith Family Foundation,222757313,2019,"$19,627,258 ","$1,065,446 ","$850,000 ",N/A,8008391754,N/A,N/A,"P.O. Box 1802
Providence, RI, United States 02901-1802"
Mimi and Peter Haas Fund,946064551,2019,"$209,239,084 ","$15,512,201 ","$7,700,722 ",N/A,4152969249,N/A,N/A,"201 FILBERT STREET Suite 5TH FLR
San Francisco, CA, United States 941333238"
"The Gertler Clark Foundation, Inc.",136122092,2019,"$5,955,301 ","$134,906 ","$85,550 ",N/A,7812372544,N/A,N/A,"P.O. Box 506
Weston, MA, United States 02493-0003"
Newsboys Reading Room Association,46056949,2020,"$1,651,774 ","$97,708 ","$76,000 ",N/A,7813357793,N/A,N/A,"43 Longwood Road
Weymouth, MA, United States 02188"
Leaves of Grass Fund,222824793,2019,"$35,891,653 ","$2,174,285 ","$1,744,500 ",N/A,5083582566, leavesofgrassfund@gmail.com,N/A,"Po Box 233
Lincoln, MA, United States 017730233"
The Gap Foundation,942474426,2020,"$8,345,117 ","$1,834,966 ","$1,830,561 ",N/A,4154277473, gap_foundation@gap.com,http://www.bewhatspossible.com,"2 Folsom Street
San Francisco, CA, United States 94105"
"Rutland Corner Foundation, Inc.",42106695,2020,"$1,620,944 ","$115,259 ","$90,000 ",N/A,6174267080, rcf@grantsmanagement.com,http://rutlandcorner.grantsmanagemen...,"Co Gma 2 Liberty Square No 500
Boston, MA, United States 02109"
Harold Brooks Foundation,46043983,2020,"$14,017,648 ","$659,771 ","$530,000 ",N/A,8888663275, ma.grantmaking@ustrust.com,https://www.bankofamerica.com/philan...,"P O Box 1802
Providence, RI, United States 029011802"
San Francisco Foundation,10679337,2020,"$1,529,601,920 ","$254,307,023 ","$228,046,930 ","$227,435,922 ",(415) 733-8500, info@sff.org,http://www.sff.org,"One Embarcadero Center
San Francisco, CA, United States 94111"
The Green Street Foundation of San Francisco,454301405,2018,$0 ,"$398,313 ","$374,939 ",N/A,4158052473,N/A,http://www.gsfsf.org,"1819 Polk St., No. 332
San Francisco, CA, United States 94109-3099"
The Joe Lewis Jefferson Foundation Inc.,223151628,2019,"$1,766,388 ","$99,148 ","$89,500 ",N/A,7818004024,N/A,N/A,"37 School House Road 10
Weymouth, MA, United States 02188"
"Palace Head Foundation, Inc.",201740632,2019,"$14,360,762 ","$811,477 ","$617,558 ",N/A,6176968536,N/A,N/A,"52 Church St
Boston, MA, United States 02116"
Marigold Charitable Trust,206748222,2020,"$5,732,712 ","$574,776 ","$476,000 ",N/A,6173451000,N/A,N/A,"c/o Nixon Peabody, LLP Attention: Evelyn V. Moreno, Esq. 53 State Street
Boston, MA, United States 02109-2835"
Gansett Foundation,43535723,2020,"$2,575,438 ","$421,432 ","$415,000 ",N/A,6173766226,N/A,N/A,"31 St James Avenue No 740
Boston, MA, United States 02116"
"Brookline Community Foundation, Inc.",42103944,2018,"$7,196,034 ","$1,551,820 ","$666,230 ","$666,230 ",(617) 566-4442, contact@brooklinecommunity.org,http://www.brooklinecommunity.org,"40 Webster Place
Brookline, MA, United States 2445"
Islands Fund,911663838,2019,"$292,065,503 ","$16,720,368 ","$15,155,647 ",N/A,2069316604,N/A,N/A,"6523 California Ave., S.W., Ste. 137
Seattle, WA, United States 98136-1833"
"Legg Mason Charitable Foundation, Inc.",311738146,2020,"$4,632,398 ","$1,478,986 ","$1,474,578 ",N/A,4105390000,N/A,N/A,"100 International Drive
Baltimore, MD, United States 21202"
The Elizabeth T. Fessenden Charitable Foundation,223432161,2020,"$4,272,742 ","$606,135 ","$560,000 ",N/A,6175233588,N/A,N/A,"Co Neim 100 High Street No 1000
Boston, MA, United States 02110"
Burroughs Wellcome Fund,237225395,2017,"$769,547,725 ","$44,090,282 ","$30,767,279 ",N/A,(919) 991-5100, info@bwfund.org,http://www.bwfund.org,"21 T. W. Alexander Dr.
Research Triangle Park, NC, United States 27709-3901"
The Louis Foundation,426660492,2019,"$4,017,573 ","$254,694 ","$248,405 ",N/A,6173544047,N/A,N/A,"48 Lake View Avenue
Cambridge, MA, United States 02138"
The Bulens Family Foundation,263548021,2020,"$5,435,441 ","$1,040,629 ","$1,011,580 ",N/A,7812391188,N/A,N/A,"Co Gw Wade 93 Worcester Street
Wellesley, MA, United States 02481"
TBL Charitable Foundation,203982689,2018,"$22,034,796 ","$2,010,318 ","$1,971,955 ",N/A,6177652100,N/A,N/A,"15 Charlesden Park
Newtonville, MA, United States 02460-2207"
Sword and Spoon Foundation,207494902,2019,"$1,367,553 ","$185,107 ","$159,832 ",N/A,7818562035,N/A,N/A,"52 Waltham Street
Lexington, MA, United States 02421"
Reynolds R. and Pamela M. Smith Foundation,432066152,2019,"$6,214,588 ","$258,263 ","$224,000 ",N/A,6175231635,N/A,N/A,"45 School St 5th Floor
Boston, MA, United States 021083204"
Moriah Fund,311129589,2019,"$73,899,083 ","$7,406,697 ","$5,482,779 ",N/A,6463733888, info@moriahfund.org,http://www.moriahfund.org,"57 Warren Street
New York City, NY, United States 10007"
Downey-Farnsworth Family Charitable Foundation,46888793,2019,"$729,438 ","$195,521 ","$180,000 ",N/A,6172442209,N/A,N/A,"73 Perkins Street
West Newton, MA, United States 024652302"
"Community Foundation of the Chattahoochee Valley, Inc.",582381589,2020,"$203,858,921 ","$16,104,240 ","$14,966,757 ","$14,933,190 ",7063200027, info@cfcv.com,http://www.cfcv.com,"1340 13th Street
Columbus, GA, United States 31901"
Resist,42433182,2020,"$3,567,173 ","$2,177,521 ","$1,173,128 ","$1,173,128 ",6176235110, info@resist.org,https://www.resist.org,"42 Seaverns Ave
Jamaica Plain, MA, United States 2130"
Cambridge Savings Charitable Foundation Inc.,481307731,2019,"$2,739,511 ","$1,024,162 ","$992,147 ",N/A,6178647000, jfoutter@cambridgesavings.com,https://www.cambridgesavings.com/com...,"1374 Massachusetts Avenue
Cambridge, MA, United States 02138"
Sirad Foundation Inc.,43484554,2018,"$3,802,182 ","$167,532 ","$139,000 ",N/A,7038580366,N/A,N/A,"21570 Schoolhouse Ct.
Ashburn, VA, United States 20148-5018"
The Women's Fund of Western Massachusetts,43342411,2020,"$3,264,507 ","$684,966 ","$166,268 ","$166,268 ",4135290087, info@womensfund.net,http://www.mywomensfund.org,"1350 Main Street No 1006
Springfield, MA, United States 01103"
Island Foundation,840715001,2018,"$866,062 ","$163,143 ","$120,787 ",N/A,6508513009,N/A,N/A,"11000 E. Yale Ave., Ste. 215
Aurora, CO, United States 80014"
Keen Charitable Foundation,43493687,2018,"$10,517,520 ","$1,293,162 ","$655,100 ",N/A,6175108297,N/A,N/A,"150 Staniford St., Ste. 1
Boston, MA, United States 02114"
The Charles Engelhard Foundation,226063032,2019,"$69,498,497 ","$7,564,302 ","$7,263,840 ",N/A,9087951392,N/A,N/A,"New York City, NY, United States 10017"
AmerisourceBergen Foundation,471846222,2020,"$29,070,475 ","$10,287,705 ","$10,251,815 ","$10,074,854 ",6105763832, abcfoundation@amerisourcebergen.com,https://www.amerisourcebergen.com/fo...,"1300 Morris Drive
Chesterbrook, PA, United States 19087"
Reynolds Family Foundation,261458354,2019,"$11,977,398 ","$2,981,500 ","$2,931,000 ",N/A,5186405000,N/A,N/A,"C/O AYCO LP - NTG PO Box 15201
Albany, NY, United States 122125201"
The North Pond Foundation,510362794,2019,"$8,241,240 ","$419,718 ","$365,047 ",N/A,N/A,N/A,N/A,"1105 N Market Street
Wilmington, DE, United States 19801"
"The Nonami Foundation, Inc.",208083384,2019,"$6,260,666 ","$102,662 ","$395,194 ",N/A,4042334339,N/A,N/A,"3445 Peachtree Road
Atlanta, GA, United States 30326"
New England Biolabs Foundation,42776213,2020,"$9,507,084 ","$1,171,010 ","$754,050 ",N/A,9789987990, info@nebf.org,http://www.nebf.org,"240 County Road
Ipswich, MA, United States 01938"
Metro North Regional Employment Board,43279555,2020,"$3,200,105 ","$7,346,099 ","$5,222,532 ","$5,222,532 ",5085710914, lbass@mnreb.org,http://www.mnreb.org,"186 Alewife Brook Parkway
Cambridge, MA, United States 02138"
Coghlin Services Fund,43517737,2019,"$934,739 ","$183,270 ","$166,022 ",N/A,5087930373,N/A,N/A,"100 Prescott St.
Worcester, MA, United States 01605-1713"
"Dean Foundation for Little Children, Inc.",42210741,2019,"$3,478,709 ","$196,696 ","$180,000 ",N/A,6177226922, chrispainter8@comcast.net,N/A,"Po Box 185
Pittsburgh, PA, United States 15230-0185"
AT&T Foundation,431353948,2019,"$69,762,412 ","$22,628,742 ","$20,529,552 ",N/A,(800) 591-9663, questions@aspirerfp.com,https://about.att.com/csr/home.html,"208 S. Akard, Rm. 1200.56
Dallas, TX, United States 75202-4206"
"Lego Community Fund U.S., Inc.",205960904,2019,"$8,190,068 ","$1,282,929 ","$1,260,587 ",N/A,8607492291, legochildrensfund@lego.com,http://www.legochildrensfund.org,"100 Rint Shop Road
Enfield, CT, United States 06082-2372"
The Center for Cultural Innovation,912156812,2020,"$3,546,646 ","$5,576,345 ","$4,526,091 ","$1,721,061 ",2136878577, info@cciarts.org,http://www.cciarts.org,"244 S. San Pedro St., No. 401
Los Angeles, CA, United States 90012"
Rose Community Foundation,840920862,2019,"$306,490,409 ","$34,196,612 ","$27,395,429 ","$27,395,429 ",3033987400, info@rcfdenver.org,http://www.rcfdenver.org,"4500 Cherry Creek Drive South, Suite 900
Denver, CO, United States 80246"
"The Leavens Foundation, Inc.",521754606,2018,"$1,440,963 ","$167,810 ","$130,680 ",N/A,(973) 808-9500, leavensfoundation@gmail.com,N/A,"PO BOX 673
Long Valley, NJ, United States 07853"
JustGive,943331010,2020,"$3,308,738 ","$5,941,962 ","$5,785,262 ","$5,785,262 ",4159825700, support@justgive.org,http://www.justgive.org,"10 Old Easton TPKE
Weston, CT, United States 06883"
The Ireland Funds America,251306992,2019,"$25,960,519 ","$18,748,455 ","$12,700,672 ","$1,841,570 ",6175740720, sgreeley@irlfunds.org,https://irelandfunds.org,"10 Post Office Square
Boston, MA, United States 2109"
Social Venture Partners Boston,454230249,2019,"$127,142 ","$445,687 ","$168,000 ","$168,000 ",6172216163,N/A,http://www.svpboston.org,"11 Concord Street
Charlestown, MA, United States 02129"
John S. and Amy S. Weinberg Foundation,133749671,2020,"$27,197,083 ","$1,108,772 ","$1,036,965 ",N/A,5186405000,N/A,N/A,"PO Box 73 Bowling Green Station
New York City, NY, United States 102740073"
The AMG Charitable Foundation,364703120,2019,"$1,487,904 ","$10,178,154 ","$10,141,900 ",N/A,6177473300,N/A,http://www.amg.com,"600 Hale Street
Prides Crossing, MA, United States 01965"
The Bressler Family Foundation,46837456,2019,"$7,052,662 ","$564,530 ","$472,000 ",N/A,6178805246,N/A,N/A,"776 Boylston Street Unit E10d
Boston, MA, United States 02199"
Project Bread - The Walk for Hunger Inc.,42931195,2019,"$4,681,664 ","$5,988,891 ","$1,035,867 ","$1,035,867 ",6177235000, info@projectbread.org,http://www.projectbread.org,"145 Border Street
East Boston, MA, United States 02128"
BOSTON BRUINS FOUNDATION,200172439,2020,"$1,486,258 ","$3,491,111 ","$3,349,890 ","$3,349,890 ",6176241900, bsweeney@bostonbruins.com,http://bruins.nhl.com/club/microhome...,"100 LEGENDS WAY
Boston, MA, United States 02114"
"Hermann Foundation, Inc.",562385301,2020,"$83,619,783 ","$4,468,468 ","$3,681,000 ",N/A,5087564657,N/A,N/A,"370 Main Street No 925
Worcester, MA, United States 01608"
Robert T. Keeler Foundation,311420552,2019,"$29,887,804 ","$1,859,343 ","$1,430,200 ",N/A,5133812838,N/A,N/A,"425 Walnut Street
Cincinnati, OH, United States 45202"
"APS Foundation, Inc.",953735903,2019,"$23,060,358 ","$2,223,168 ","$2,885,350 ",N/A,6022502574, julie.coleman@aps.com,http://www.aps.com/en/communityanden...,"P.O. Box 53999, MS 8657
Phoenix, AZ, United States 85072-3999"
Arie and Ida Crown Memorial,366076088,2019,"$1,660,262,958 ","$70,397,222 ","$69,372,822 ",N/A,3122366300,N/A,http://www.crownfamilyphilanthropies.org,"222 N. LaSalle St., Ste. 1000
Chicago, IL, United States 60601-1109"
Mussafer Family Foundation,387216877,2019,"$34,879,162 ","$660,903 ","$635,000 ",N/A,6177426720,N/A,N/A,"8 Rolling Lane
Weston, MA, United States 02493"
The Steel Partners Foundation,201227557,2020,$127 ,"$426,700 ","$426,700 ",N/A,9705449898,N/A,N/A,"777 Spruce Street
Aspen, CO, United States 81611"
"The Carroll and Milton Petrie Foundation, Inc.",201451752,2019,"$100,273,305 ","$7,683,897 ","$7,060,169 ",N/A,2128066027, info@petrie.org,http://www.petrie.org,"180 Maiden Lane
New York City, NY, United States 10038"
Bristol County Savings Charitable Foundation Inc.,43332966,2019,"$14,243,024 ","$2,075,062 ","$1,981,183 ",N/A,5088285420,N/A,https://www.bristolcountysavings.com...,"35 Broadway
Taunton, MA, United States 02780"
The Day Charitable Trust,46933631,2019,"$4,269,307 ","$944,005 ","$920,200 ",N/A,6174241100,N/A,N/A,"Freed 400 West Cummings Pk No 585
Woburn, MA, United States 01801"
The Red Elm Tree Foundation Robe,43210639,2020,"$1,915,227 ","$1,952,862 ","$1,932,424 ",N/A,6174561620,N/A,N/A,"6 Winchelsea Lane
Lincoln, MA, United States 017735110"
Massachusetts Medical Society and Alliance Charitable Foundation,223199624,2019,"$2,140,288 ","$313,464 ","$300,153 ","$281,278 ",7814347044, foundation@mms.org,http://www.mmsfoundation.org,"860 Winter St
Waltham, MA, United States 02451"
CLEAN WATER FUND,N/A,2020,"$5,205,740 ","$5,252,911 ","$294,727 ","$294,727 ",5867833277,N/A,N/A,"1444 EYE ST NW SUITE 400
Washington, DC, United States 20005"
"The Tudor Foundation, Inc.",61502288,2020,"$76,700 ","$4,933,252 ","$4,923,750 ",N/A,2038636700,N/A,N/A,"200 Elm Street
Stamford, CT, United States 06902"
"Polk Bros. Foundation, Inc.",366108293,2019,"$412,358,712 ","$32,432,562 ","$27,747,580 ",N/A,3125274684, srobinson@polkbrosFdn.org,http://www.polkbrosfdn.org,"20 W Kinzie St
Chicago, IL, United States 60654-5815"
"The Tudor Foundation, Inc.",61502288,2020,"$76,700 ","$4,933,252 ","$4,923,750 ",N/A,2038636700,N/A,N/A,"200 Elm Street
Stamford, CT, United States 06902"
"Polk Bros. Foundation, Inc.",366108293,2019,"$412,358,712 ","$32,432,562 ","$27,747,580 ",N/A,3125274684, srobinson@polkbrosFdn.org,http://www.polkbrosfdn.org,"20 W Kinzie St
Chicago, IL, United States 60654-5815"
Sacajawea Charitable Foundation,46891321,2019,"$7,533,309 ","$400,347 ","$370,000 ",N/A,7812379290,N/A,N/A,"148 Linden Street
Wellesley, MA, United States 02482-7904"
